Neuron1,Neuron2,BumpScore,Rank
n041_L_CA1_wire_3_cell_1,n097_R_CA1_wire_1_cell_1,27.043924700513408,1
n082_R_CA1_wire_5_cell_2,n097_R_CA1_wire_1_cell_1,25.90597853857946,2
n006_L_CA3_wire_2_cell_2,n041_L_CA1_wire_3_cell_1,25.097345132743364,3
n010_L_CA3_wire_3_cell_2,n097_R_CA1_wire_1_cell_1,24.7182320441989,4
n006_L_CA3_wire_2_cell_2,n097_R_CA1_wire_1_cell_1,24.347523892267596,5
n010_L_CA3_wire_3_cell_2,n041_L_CA1_wire_3_cell_1,23.164601769911506,6
n041_L_CA1_wire_3_cell_1,n082_R_CA1_wire_5_cell_2,22.802856009520035,7
n009_L_CA3_wire_3_cell_1,n041_L_CA1_wire_3_cell_1,20.96434634974533,8
n009_L_CA3_wire_3_cell_1,n097_R_CA1_wire_1_cell_1,20.55024390243902,9
n006_L_CA3_wire_2_cell_2,n010_L_CA3_wire_3_cell_2,15.587841945288753,10
n006_L_CA3_wire_2_cell_2,n082_R_CA1_wire_5_cell_2,14.862713241267263,11
n006_L_CA3_wire_2_cell_2,n009_L_CA3_wire_3_cell_1,13.451914893617023,12
n081_R_CA1_wire_5_cell_1,n097_R_CA1_wire_1_cell_1,12.955445544554454,13
n010_L_CA3_wire_3_cell_2,n082_R_CA1_wire_5_cell_2,12.611383993065585,14
n009_L_CA3_wire_3_cell_1,n082_R_CA1_wire_5_cell_2,12.061597690086622,15
n009_L_CA3_wire_3_cell_1,n010_L_CA3_wire_3_cell_2,10.92817679558011,16
n041_L_CA1_wire_3_cell_1,n081_R_CA1_wire_5_cell_1,9.312436804853387,17
n081_R_CA1_wire_5_cell_1,n082_R_CA1_wire_5_cell_2,7.572975760701393,18
n009_L_CA3_wire_3_cell_1,n081_R_CA1_wire_5_cell_1,5.347196435202374,19
n006_L_CA3_wire_2_cell_2,n081_R_CA1_wire_5_cell_1,4.056647784071977,20
n010_L_CA3_wire_3_cell_2,n081_R_CA1_wire_5_cell_1,3.839586313125757,21
