Neuron1,Neuron2,BumpScore,Rank
n086_R_CA1_wire_6_cell_2,n097_R_CA1_wire_1_cell_1,21.913043478260864,1
n081_R_CA1_wire_5_cell_1,n086_R_CA1_wire_6_cell_2,13.500609013398293,2
n010_L_CA3_wire_3_cell_2,n086_R_CA1_wire_6_cell_2,13.427135678391958,3
n010_L_CA3_wire_3_cell_2,n097_R_CA1_wire_1_cell_1,12.64269662921348,4
n041_L_CA1_wire_3_cell_1,n097_R_CA1_wire_1_cell_1,12.50574712643678,5
n041_L_CA1_wire_3_cell_1,n086_R_CA1_wire_6_cell_2,9.999999999999993,6
n097_R_CA1_wire_1_cell_1,n118_R_CA3_wire_6_cell_2,9.699208443271766,7
n010_L_CA3_wire_3_cell_2,n041_L_CA1_wire_3_cell_1,9.163076923076922,8
n082_R_CA1_wire_5_cell_2,n086_R_CA1_wire_6_cell_2,9.062916358253144,9
n081_R_CA1_wire_5_cell_1,n082_R_CA1_wire_5_cell_2,8.854439080533265,10
n105_R_CA3_wire_3_cell_1,n118_R_CA3_wire_6_cell_2,8.334701762859213,11
n086_R_CA1_wire_6_cell_2,n105_R_CA3_wire_3_cell_1,7.764258555133079,12
n086_R_CA1_wire_6_cell_2,n118_R_CA3_wire_6_cell_2,6.404040404040401,13
n006_L_CA3_wire_2_cell_2,n097_R_CA1_wire_1_cell_1,6.0592255125284735,14
n097_R_CA1_wire_1_cell_1,n105_R_CA3_wire_3_cell_1,5.75521557719054,15
n086_R_CA1_wire_6_cell_2,n106_R_CA3_wire_3_cell_2,5.612374886260238,16
n010_L_CA3_wire_3_cell_2,n081_R_CA1_wire_5_cell_1,5.201907790143085,17
n006_L_CA3_wire_2_cell_2,n086_R_CA1_wire_6_cell_2,4.629653821032004,18
n041_L_CA1_wire_3_cell_1,n118_R_CA3_wire_6_cell_2,4.507223113964686,19
n082_R_CA1_wire_5_cell_2,n097_R_CA1_wire_1_cell_1,3.9428117553613977,20
n006_L_CA3_wire_2_cell_2,n010_L_CA3_wire_3_cell_2,3.8310689147159924,21
n081_R_CA1_wire_5_cell_1,n097_R_CA1_wire_1_cell_1,3.813084112149531,22
n106_R_CA3_wire_3_cell_2,n118_R_CA3_wire_6_cell_2,3.7732058966466875,23
n041_L_CA1_wire_3_cell_1,n081_R_CA1_wire_5_cell_1,3.6953642384105954,24
n010_L_CA3_wire_3_cell_2,n118_R_CA3_wire_6_cell_2,3.4976625584360383,25
n009_L_CA3_wire_3_cell_1,n097_R_CA1_wire_1_cell_1,3.4961719850554287,26
n013_L_CA3_wire_4_cell_1,n086_R_CA1_wire_6_cell_2,3.436150524367674,27
n009_L_CA3_wire_3_cell_1,n086_R_CA1_wire_6_cell_2,3.3328112764291307,28
n105_R_CA3_wire_3_cell_1,n106_R_CA3_wire_3_cell_2,3.0764399868772556,29
n006_L_CA3_wire_2_cell_2,n118_R_CA3_wire_6_cell_2,2.9172932330827077,30
n041_L_CA1_wire_3_cell_1,n105_R_CA3_wire_3_cell_1,2.911937377690802,31
n097_R_CA1_wire_1_cell_1,n106_R_CA3_wire_3_cell_2,2.9100529100529084,32
n041_L_CA1_wire_3_cell_1,n082_R_CA1_wire_5_cell_2,2.8642659279778386,33
n086_R_CA1_wire_6_cell_2,n117_R_CA3_wire_6_cell_1,2.646319569120287,34
n081_R_CA1_wire_5_cell_1,n105_R_CA3_wire_3_cell_1,2.6274543427934494,35
n010_L_CA3_wire_3_cell_2,n082_R_CA1_wire_5_cell_2,2.5187368421052643,36
n006_L_CA3_wire_2_cell_2,n041_L_CA1_wire_3_cell_1,2.5165435271442345,37
n042_L_CA1_wire_3_cell_2,n086_R_CA1_wire_6_cell_2,2.4036728447542934,38
n014_L_CA3_wire_4_cell_2,n086_R_CA1_wire_6_cell_2,2.244762954796031,39
n009_L_CA3_wire_3_cell_1,n118_R_CA3_wire_6_cell_2,2.050229390341957,40
n014_L_CA3_wire_4_cell_2,n097_R_CA1_wire_1_cell_1,1.9801472942683325,41
n081_R_CA1_wire_5_cell_1,n118_R_CA3_wire_6_cell_2,1.9300928454396495,42
n013_L_CA3_wire_4_cell_1,n118_R_CA3_wire_6_cell_2,1.799063545150502,43
n010_L_CA3_wire_3_cell_2,n105_R_CA3_wire_3_cell_1,1.794497845541929,44
n041_L_CA1_wire_3_cell_1,n106_R_CA3_wire_3_cell_2,1.6642999147969324,45
n006_L_CA3_wire_2_cell_2,n081_R_CA1_wire_5_cell_1,1.6234285157392068,46
n005_L_CA3_wire_2_cell_1,n086_R_CA1_wire_6_cell_2,1.588571428571427,47
n005_L_CA3_wire_2_cell_1,n097_R_CA1_wire_1_cell_1,1.541666666666667,48
n082_R_CA1_wire_5_cell_2,n118_R_CA3_wire_6_cell_2,1.537703302119271,49
n010_L_CA3_wire_3_cell_2,n106_R_CA3_wire_3_cell_2,1.421960933055187,50
n081_R_CA1_wire_5_cell_1,n106_R_CA3_wire_3_cell_2,1.3465868940500307,51
n082_R_CA1_wire_5_cell_2,n105_R_CA3_wire_3_cell_1,1.2899224806201544,52
n009_L_CA3_wire_3_cell_1,n010_L_CA3_wire_3_cell_2,1.2836278214686963,53
n010_L_CA3_wire_3_cell_2,n013_L_CA3_wire_4_cell_1,1.2765957446808507,54
n009_L_CA3_wire_3_cell_1,n081_R_CA1_wire_5_cell_1,1.2732114732973803,55
n006_L_CA3_wire_2_cell_2,n009_L_CA3_wire_3_cell_1,1.254601207519379,56
n042_L_CA1_wire_3_cell_2,n097_R_CA1_wire_1_cell_1,1.2415122809958925,57
n081_R_CA1_wire_5_cell_1,n117_R_CA3_wire_6_cell_1,1.2180045425455828,58
n013_L_CA3_wire_4_cell_1,n097_R_CA1_wire_1_cell_1,1.2124049151550613,59
n013_L_CA3_wire_4_cell_1,n041_L_CA1_wire_3_cell_1,1.1375495150935664,60
n009_L_CA3_wire_3_cell_1,n082_R_CA1_wire_5_cell_2,1.1063004846526658,61
n013_L_CA3_wire_4_cell_1,n082_R_CA1_wire_5_cell_2,1.0658418524679025,62
n013_L_CA3_wire_4_cell_1,n081_R_CA1_wire_5_cell_1,1.0268492635831898,63
n010_L_CA3_wire_3_cell_2,n117_R_CA3_wire_6_cell_1,1.0235743614946804,64
n009_L_CA3_wire_3_cell_1,n041_L_CA1_wire_3_cell_1,0.993752603082049,65
n082_R_CA1_wire_5_cell_2,n106_R_CA3_wire_3_cell_2,0.9655525863015704,66
n005_L_CA3_wire_2_cell_1,n118_R_CA3_wire_6_cell_2,0.9251352770611209,67
n005_L_CA3_wire_2_cell_1,n010_L_CA3_wire_3_cell_2,0.9108092144122863,68
n006_L_CA3_wire_2_cell_2,n013_L_CA3_wire_4_cell_1,0.8978295647190859,69
n097_R_CA1_wire_1_cell_1,n117_R_CA3_wire_6_cell_1,0.8961956109043966,70
n010_L_CA3_wire_3_cell_2,n014_L_CA3_wire_4_cell_2,0.8904847396768398,71
n041_L_CA1_wire_3_cell_1,n042_L_CA1_wire_3_cell_2,0.8886576482830386,72
n014_L_CA3_wire_4_cell_2,n041_L_CA1_wire_3_cell_1,0.8566541224769079,73
n082_R_CA1_wire_5_cell_2,n117_R_CA3_wire_6_cell_1,0.8565229041808546,74
n005_L_CA3_wire_2_cell_1,n006_L_CA3_wire_2_cell_2,0.8277010904310405,75
n006_L_CA3_wire_2_cell_2,n082_R_CA1_wire_5_cell_2,0.8043773279819832,76
n010_L_CA3_wire_3_cell_2,n042_L_CA1_wire_3_cell_2,0.7702286362899309,77
n009_L_CA3_wire_3_cell_1,n106_R_CA3_wire_3_cell_2,0.7621074811064168,78
n014_L_CA3_wire_4_cell_2,n118_R_CA3_wire_6_cell_2,0.7515234642892133,79
n014_L_CA3_wire_4_cell_2,n081_R_CA1_wire_5_cell_1,0.7426678516603373,80
n009_L_CA3_wire_3_cell_1,n013_L_CA3_wire_4_cell_1,0.7210700283092245,81
n005_L_CA3_wire_2_cell_1,n009_L_CA3_wire_3_cell_1,0.7195799208270468,82
