Neuron1,Neuron2,BumpScore,Rank
n077_R_CA1_wire_4_cell_1,n109_R_CA3_wire_4_cell_1,13.658536585365855,1
n041_L_CA1_wire_3_cell_1,n077_R_CA1_wire_4_cell_1,13.040000000000003,2
n097_R_CA1_wire_1_cell_1,n109_R_CA3_wire_4_cell_1,12.943999999999999,3
n041_L_CA1_wire_3_cell_1,n097_R_CA1_wire_1_cell_1,12.000000000000004,4
n077_R_CA1_wire_4_cell_1,n097_R_CA1_wire_1_cell_1,11.959183673469388,5
n041_L_CA1_wire_3_cell_1,n109_R_CA3_wire_4_cell_1,11.900293255131967,6
n005_L_CA3_wire_2_cell_1,n041_L_CA1_wire_3_cell_1,11.412639405204462,7
n014_L_CA3_wire_4_cell_2,n041_L_CA1_wire_3_cell_1,10.846424384525204,8
n005_L_CA3_wire_2_cell_1,n109_R_CA3_wire_4_cell_1,10.57510729613734,9
n005_L_CA3_wire_2_cell_1,n077_R_CA1_wire_4_cell_1,10.310618066561013,10
n014_L_CA3_wire_4_cell_2,n109_R_CA3_wire_4_cell_1,9.20617110799439,11
n014_L_CA3_wire_4_cell_2,n077_R_CA1_wire_4_cell_1,8.983316977428853,12
n005_L_CA3_wire_2_cell_1,n097_R_CA1_wire_1_cell_1,6.799999999999999,13
n014_L_CA3_wire_4_cell_2,n097_R_CA1_wire_1_cell_1,5.766367137355583,14
n005_L_CA3_wire_2_cell_1,n014_L_CA3_wire_4_cell_2,4.270742358078603,15
