Neuron1,Neuron2,BumpScore,Rank
n081_R_CA1_wire_5_cell_1,n105_R_CA3_wire_3_cell_1,27.816091954022987,1
n010_L_CA3_wire_3_cell_2,n017_L_CA3_wire_5_cell_1,26.4,2
n078_R_CA1_wire_4_cell_2,n105_R_CA3_wire_3_cell_1,26.360655737704917,3
n010_L_CA3_wire_3_cell_2,n085_R_CA1_wire_6_cell_1,24.923076923076923,4
n010_L_CA3_wire_3_cell_2,n078_R_CA1_wire_4_cell_2,24.0,5
n010_L_CA3_wire_3_cell_2,n081_R_CA1_wire_5_cell_1,23.885714285714286,6
n017_L_CA3_wire_5_cell_1,n078_R_CA1_wire_4_cell_2,23.365853658536587,7
n085_R_CA1_wire_6_cell_1,n118_R_CA3_wire_6_cell_2,23.11504424778761,8
n078_R_CA1_wire_4_cell_2,n081_R_CA1_wire_5_cell_1,21.609756097560975,9
n010_L_CA3_wire_3_cell_2,n105_R_CA3_wire_3_cell_1,21.076923076923077,10
n077_R_CA1_wire_4_cell_1,n081_R_CA1_wire_5_cell_1,20.531468531468526,11
n010_L_CA3_wire_3_cell_2,n118_R_CA3_wire_6_cell_2,19.454545454545453,12
n017_L_CA3_wire_5_cell_1,n081_R_CA1_wire_5_cell_1,19.319148936170215,13
n085_R_CA1_wire_6_cell_1,n105_R_CA3_wire_3_cell_1,18.666666666666664,14
n017_L_CA3_wire_5_cell_1,n105_R_CA3_wire_3_cell_1,18.55944055944056,15
n078_R_CA1_wire_4_cell_2,n085_R_CA1_wire_6_cell_1,18.551724137931032,16
n078_R_CA1_wire_4_cell_2,n118_R_CA3_wire_6_cell_2,18.22222222222222,17
n017_L_CA3_wire_5_cell_1,n085_R_CA1_wire_6_cell_1,17.734513274336283,18
n010_L_CA3_wire_3_cell_2,n097_R_CA1_wire_1_cell_1,17.492957746478872,19
n017_L_CA3_wire_5_cell_1,n118_R_CA3_wire_6_cell_2,16.319999999999997,20
n105_R_CA3_wire_3_cell_1,n118_R_CA3_wire_6_cell_2,15.353846153846153,21
n077_R_CA1_wire_4_cell_1,n105_R_CA3_wire_3_cell_1,15.209302325581394,22
n081_R_CA1_wire_5_cell_1,n085_R_CA1_wire_6_cell_1,14.958904109589042,23
n078_R_CA1_wire_4_cell_2,n097_R_CA1_wire_1_cell_1,14.470588235294118,24
n017_L_CA3_wire_5_cell_1,n041_L_CA1_wire_3_cell_1,14.103703703703705,25
n017_L_CA3_wire_5_cell_1,n077_R_CA1_wire_4_cell_1,14.015936254980078,26
n041_L_CA1_wire_3_cell_1,n081_R_CA1_wire_5_cell_1,13.700234192037469,27
n014_L_CA3_wire_4_cell_2,n081_R_CA1_wire_5_cell_1,13.648,28
n010_L_CA3_wire_3_cell_2,n014_L_CA3_wire_4_cell_2,13.433476394849784,29
n014_L_CA3_wire_4_cell_2,n041_L_CA1_wire_3_cell_1,13.154159673939102,30
n010_L_CA3_wire_3_cell_2,n041_L_CA1_wire_3_cell_1,12.933333333333334,31
n010_L_CA3_wire_3_cell_2,n077_R_CA1_wire_4_cell_1,12.861538461538462,32
n097_R_CA1_wire_1_cell_1,n118_R_CA3_wire_6_cell_2,12.843373493975903,33
n085_R_CA1_wire_6_cell_1,n097_R_CA1_wire_1_cell_1,12.395939086294417,34
n041_L_CA1_wire_3_cell_1,n105_R_CA3_wire_3_cell_1,12.367029548989116,35
n010_L_CA3_wire_3_cell_2,n110_R_CA3_wire_4_cell_2,12.285714285714283,36
n081_R_CA1_wire_5_cell_1,n118_R_CA3_wire_6_cell_2,11.914893617021276,37
n013_L_CA3_wire_4_cell_1,n017_L_CA3_wire_5_cell_1,11.867203219315892,38
n014_L_CA3_wire_4_cell_2,n105_R_CA3_wire_3_cell_1,11.242105263157894,39
n041_L_CA1_wire_3_cell_1,n077_R_CA1_wire_4_cell_1,11.145374449339208,40
n005_L_CA3_wire_2_cell_1,n010_L_CA3_wire_3_cell_2,11.037974683544304,41
n005_L_CA3_wire_2_cell_1,n041_L_CA1_wire_3_cell_1,10.8625,42
n017_L_CA3_wire_5_cell_1,n097_R_CA1_wire_1_cell_1,10.857142857142858,43
n081_R_CA1_wire_5_cell_1,n097_R_CA1_wire_1_cell_1,10.778947368421052,44
n014_L_CA3_wire_4_cell_2,n077_R_CA1_wire_4_cell_1,10.70252996005326,45
n097_R_CA1_wire_1_cell_1,n105_R_CA3_wire_3_cell_1,10.621848739495798,46
n014_L_CA3_wire_4_cell_2,n017_L_CA3_wire_5_cell_1,10.554838709677417,47
n041_L_CA1_wire_3_cell_1,n085_R_CA1_wire_6_cell_1,10.548672566371682,48
n077_R_CA1_wire_4_cell_1,n085_R_CA1_wire_6_cell_1,10.543259557344065,49
n077_R_CA1_wire_4_cell_1,n078_R_CA1_wire_4_cell_2,10.440944881889763,50
n005_L_CA3_wire_2_cell_1,n085_R_CA1_wire_6_cell_1,10.057142857142857,51
n078_R_CA1_wire_4_cell_2,n110_R_CA3_wire_4_cell_2,10.044609665427505,52
n078_R_CA1_wire_4_cell_2,n109_R_CA3_wire_4_cell_1,10.042906574394465,53
n081_R_CA1_wire_5_cell_1,n109_R_CA3_wire_4_cell_1,9.754609027336299,54
n105_R_CA3_wire_3_cell_1,n109_R_CA3_wire_4_cell_1,9.610237988325101,55
n014_L_CA3_wire_4_cell_2,n085_R_CA1_wire_6_cell_1,9.403693931398415,56
n041_L_CA1_wire_3_cell_1,n097_R_CA1_wire_1_cell_1,8.762886597938143,57
n041_L_CA1_wire_3_cell_1,n078_R_CA1_wire_4_cell_2,8.588235294117645,58
n005_L_CA3_wire_2_cell_1,n017_L_CA3_wire_5_cell_1,8.38961038961039,59
n005_L_CA3_wire_2_cell_1,n105_R_CA3_wire_3_cell_1,8.378378378378379,60
n077_R_CA1_wire_4_cell_1,n118_R_CA3_wire_6_cell_2,8.33492822966507,61
n014_L_CA3_wire_4_cell_2,n078_R_CA1_wire_4_cell_2,8.324324324324323,62
n041_L_CA1_wire_3_cell_1,n118_R_CA3_wire_6_cell_2,8.259999999999998,63
n085_R_CA1_wire_6_cell_1,n110_R_CA3_wire_4_cell_2,8.164383561643834,64
n005_L_CA3_wire_2_cell_1,n081_R_CA1_wire_5_cell_1,8.125,65
n005_L_CA3_wire_2_cell_1,n078_R_CA1_wire_4_cell_2,8.08,66
n110_R_CA3_wire_4_cell_2,n118_R_CA3_wire_6_cell_2,8.014388489208633,67
n013_L_CA3_wire_4_cell_1,n078_R_CA1_wire_4_cell_2,7.864768683274019,68
n010_L_CA3_wire_3_cell_2,n109_R_CA3_wire_4_cell_1,7.751605995717345,69
n017_L_CA3_wire_5_cell_1,n110_R_CA3_wire_4_cell_2,7.703703703703702,70
n005_L_CA3_wire_2_cell_1,n077_R_CA1_wire_4_cell_1,7.638676844783715,71
n014_L_CA3_wire_4_cell_2,n118_R_CA3_wire_6_cell_2,7.5455999999999985,72
n105_R_CA3_wire_3_cell_1,n110_R_CA3_wire_4_cell_2,7.525925925925925,73
n085_R_CA1_wire_6_cell_1,n109_R_CA3_wire_4_cell_1,7.483870967741934,74
n014_L_CA3_wire_4_cell_2,n097_R_CA1_wire_1_cell_1,7.295106277805239,75
n081_R_CA1_wire_5_cell_1,n110_R_CA3_wire_4_cell_2,7.209302325581395,76
n005_L_CA3_wire_2_cell_1,n118_R_CA3_wire_6_cell_2,7.189695550351288,77
n109_R_CA3_wire_4_cell_1,n118_R_CA3_wire_6_cell_2,6.923111612175873,78
n017_L_CA3_wire_5_cell_1,n109_R_CA3_wire_4_cell_1,6.78319950586782,79
n077_R_CA1_wire_4_cell_1,n097_R_CA1_wire_1_cell_1,6.535496957403652,80
n077_R_CA1_wire_4_cell_1,n109_R_CA3_wire_4_cell_1,6.335524256651016,81
n041_L_CA1_wire_3_cell_1,n109_R_CA3_wire_4_cell_1,5.941499085923218,82
n005_L_CA3_wire_2_cell_1,n014_L_CA3_wire_4_cell_2,5.932925821906492,83
n010_L_CA3_wire_3_cell_2,n013_L_CA3_wire_4_cell_1,5.675675675675674,84
n109_R_CA3_wire_4_cell_1,n110_R_CA3_wire_4_cell_2,5.65956102952787,85
n013_L_CA3_wire_4_cell_1,n105_R_CA3_wire_3_cell_1,5.615384615384612,86
n013_L_CA3_wire_4_cell_1,n081_R_CA1_wire_5_cell_1,5.36470588235294,87
n013_L_CA3_wire_4_cell_1,n118_R_CA3_wire_6_cell_2,5.283720930232558,88
n013_L_CA3_wire_4_cell_1,n085_R_CA1_wire_6_cell_1,5.279596977329974,89
n017_L_CA3_wire_5_cell_1,n042_L_CA1_wire_3_cell_2,5.241326137239783,90
n014_L_CA3_wire_4_cell_2,n109_R_CA3_wire_4_cell_1,5.207904487443392,91
n077_R_CA1_wire_4_cell_1,n110_R_CA3_wire_4_cell_2,4.838113757899854,92
n005_L_CA3_wire_2_cell_1,n097_R_CA1_wire_1_cell_1,4.773879819381729,93
n097_R_CA1_wire_1_cell_1,n109_R_CA3_wire_4_cell_1,4.4657047724750285,94
n041_L_CA1_wire_3_cell_1,n110_R_CA3_wire_4_cell_2,4.380883417813179,95
n005_L_CA3_wire_2_cell_1,n109_R_CA3_wire_4_cell_1,4.0843153930263645,96
n014_L_CA3_wire_4_cell_2,n110_R_CA3_wire_4_cell_2,3.670074021854071,97
n042_L_CA1_wire_3_cell_2,n081_R_CA1_wire_5_cell_1,3.3014354066985647,98
n009_L_CA3_wire_3_cell_1,n081_R_CA1_wire_5_cell_1,3.2828795569912312,99
n010_L_CA3_wire_3_cell_2,n042_L_CA1_wire_3_cell_2,3.1731843575419,100
n013_L_CA3_wire_4_cell_1,n077_R_CA1_wire_4_cell_1,3.155652648825778,101
n013_L_CA3_wire_4_cell_1,n110_R_CA3_wire_4_cell_2,2.9680851063829783,102
n042_L_CA1_wire_3_cell_2,n078_R_CA1_wire_4_cell_2,2.9347826086956523,103
n005_L_CA3_wire_2_cell_1,n110_R_CA3_wire_4_cell_2,2.8575406032482595,104
n006_L_CA3_wire_2_cell_2,n017_L_CA3_wire_5_cell_1,2.809480401093892,105
n013_L_CA3_wire_4_cell_1,n041_L_CA1_wire_3_cell_1,2.7715736040609134,106
n042_L_CA1_wire_3_cell_2,n105_R_CA3_wire_3_cell_1,2.7186009538950713,107
n042_L_CA1_wire_3_cell_2,n085_R_CA1_wire_6_cell_1,2.572564612326043,108
n013_L_CA3_wire_4_cell_1,n097_R_CA1_wire_1_cell_1,2.54950016123831,109
n097_R_CA1_wire_1_cell_1,n110_R_CA3_wire_4_cell_2,2.53329002923027,110
n009_L_CA3_wire_3_cell_1,n010_L_CA3_wire_3_cell_2,2.2686217008797653,111
n006_L_CA3_wire_2_cell_2,n078_R_CA1_wire_4_cell_2,2.23780487804878,112
n009_L_CA3_wire_3_cell_1,n017_L_CA3_wire_5_cell_1,2.185328185328185,113
n006_L_CA3_wire_2_cell_2,n081_R_CA1_wire_5_cell_1,2.175908221797323,114
n009_L_CA3_wire_3_cell_1,n013_L_CA3_wire_4_cell_1,2.1711700479133635,115
n006_L_CA3_wire_2_cell_2,n010_L_CA3_wire_3_cell_2,2.085889570552147,116
n042_L_CA1_wire_3_cell_2,n118_R_CA3_wire_6_cell_2,2.0315670800450953,117
n006_L_CA3_wire_2_cell_2,n014_L_CA3_wire_4_cell_2,1.9674531031900044,118
n009_L_CA3_wire_3_cell_1,n078_R_CA1_wire_4_cell_2,1.935285053929122,119
n009_L_CA3_wire_3_cell_1,n105_R_CA3_wire_3_cell_1,1.9163763066202084,120
n006_L_CA3_wire_2_cell_2,n013_L_CA3_wire_4_cell_1,1.8240886135042222,121
n013_L_CA3_wire_4_cell_1,n109_R_CA3_wire_4_cell_1,1.8128523111612178,122
n006_L_CA3_wire_2_cell_2,n118_R_CA3_wire_6_cell_2,1.6487079885154543,123
n006_L_CA3_wire_2_cell_2,n085_R_CA1_wire_6_cell_1,1.5924932975871315,124
n006_L_CA3_wire_2_cell_2,n105_R_CA3_wire_3_cell_1,1.5785288270377729,125
n041_L_CA1_wire_3_cell_1,n042_L_CA1_wire_3_cell_2,1.5559566787003596,126
n009_L_CA3_wire_3_cell_1,n085_R_CA1_wire_6_cell_1,1.534626038781163,127
n042_L_CA1_wire_3_cell_2,n110_R_CA3_wire_4_cell_2,1.5106483672503543,128
n006_L_CA3_wire_2_cell_2,n009_L_CA3_wire_3_cell_1,1.4556381821023492,129
n006_L_CA3_wire_2_cell_2,n077_R_CA1_wire_4_cell_1,1.4135305634109205,130
n013_L_CA3_wire_4_cell_1,n014_L_CA3_wire_4_cell_2,1.3878497449373937,131
n009_L_CA3_wire_3_cell_1,n097_R_CA1_wire_1_cell_1,1.3728578045391382,132
n042_L_CA1_wire_3_cell_2,n077_R_CA1_wire_4_cell_1,1.3192956979488106,133
n005_L_CA3_wire_2_cell_1,n006_L_CA3_wire_2_cell_2,1.3012330868575126,134
n009_L_CA3_wire_3_cell_1,n041_L_CA1_wire_3_cell_1,1.2545621198233474,135
n009_L_CA3_wire_3_cell_1,n077_R_CA1_wire_4_cell_1,1.098312648166225,136
n005_L_CA3_wire_2_cell_1,n013_L_CA3_wire_4_cell_1,1.0826464691468036,137
n009_L_CA3_wire_3_cell_1,n118_R_CA3_wire_6_cell_2,1.0760966875559537,138
n042_L_CA1_wire_3_cell_2,n097_R_CA1_wire_1_cell_1,1.0699528814787964,139
n006_L_CA3_wire_2_cell_2,n041_L_CA1_wire_3_cell_1,0.9307951616101533,140
n042_L_CA1_wire_3_cell_2,n109_R_CA3_wire_4_cell_1,0.865803266868188,141
n014_L_CA3_wire_4_cell_2,n042_L_CA1_wire_3_cell_2,0.6882217090069283,142
n006_L_CA3_wire_2_cell_2,n110_R_CA3_wire_4_cell_2,0.6507798120701328,143
n009_L_CA3_wire_3_cell_1,n014_L_CA3_wire_4_cell_2,0.5866305385349642,144
n006_L_CA3_wire_2_cell_2,n097_R_CA1_wire_1_cell_1,0.5287692440010324,145
n009_L_CA3_wire_3_cell_1,n110_R_CA3_wire_4_cell_2,0.4632267102498252,146
n006_L_CA3_wire_2_cell_2,n109_R_CA3_wire_4_cell_1,0.43835318539020474,147
n005_L_CA3_wire_2_cell_1,n009_L_CA3_wire_3_cell_1,0.40722059994690746,148
n013_L_CA3_wire_4_cell_1,n042_L_CA1_wire_3_cell_2,0.3864695640889776,149
n005_L_CA3_wire_2_cell_1,n042_L_CA1_wire_3_cell_2,0.31632809926430205,150
n009_L_CA3_wire_3_cell_1,n109_R_CA3_wire_4_cell_1,0.25832420275647366,151
n006_L_CA3_wire_2_cell_2,n042_L_CA1_wire_3_cell_2,0.10270208533884695,152
n009_L_CA3_wire_3_cell_1,n042_L_CA1_wire_3_cell_2,0.08068826973808252,153
