Neuron1,Neuron2,BumpScore,Rank
n010_L_CA3_wire_3_cell_2,n085_R_CA1_wire_6_cell_1,24.0,1
n081_R_CA1_wire_5_cell_1,n105_R_CA3_wire_3_cell_1,23.869969040247675,2
n010_L_CA3_wire_3_cell_2,n105_R_CA3_wire_3_cell_1,23.529411764705884,3
n010_L_CA3_wire_3_cell_2,n017_L_CA3_wire_5_cell_1,23.028571428571425,4
n085_R_CA1_wire_6_cell_1,n118_R_CA3_wire_6_cell_2,21.547703180212014,5
n078_R_CA1_wire_4_cell_2,n105_R_CA3_wire_3_cell_1,20.96774193548387,6
n010_L_CA3_wire_3_cell_2,n081_R_CA1_wire_5_cell_1,20.727272727272727,7
n078_R_CA1_wire_4_cell_2,n081_R_CA1_wire_5_cell_1,19.706422018348622,8
n010_L_CA3_wire_3_cell_2,n078_R_CA1_wire_4_cell_2,19.38461538461538,9
n010_L_CA3_wire_3_cell_2,n118_R_CA3_wire_6_cell_2,18.571428571428573,10
n017_L_CA3_wire_5_cell_1,n081_R_CA1_wire_5_cell_1,16.883720930232556,11
n017_L_CA3_wire_5_cell_1,n105_R_CA3_wire_3_cell_1,16.567164179104477,12
n077_R_CA1_wire_4_cell_1,n081_R_CA1_wire_5_cell_1,16.35205992509363,13
n017_L_CA3_wire_5_cell_1,n078_R_CA1_wire_4_cell_2,16.195121951219512,14
n017_L_CA3_wire_5_cell_1,n085_R_CA1_wire_6_cell_1,15.509202453987731,15
n078_R_CA1_wire_4_cell_2,n085_R_CA1_wire_6_cell_1,15.30232558139535,16
n010_L_CA3_wire_3_cell_2,n041_L_CA1_wire_3_cell_1,15.255813953488373,17
n078_R_CA1_wire_4_cell_2,n118_R_CA3_wire_6_cell_2,15.214953271028035,18
n010_L_CA3_wire_3_cell_2,n097_R_CA1_wire_1_cell_1,15.07246376811594,19
n010_L_CA3_wire_3_cell_2,n077_R_CA1_wire_4_cell_1,14.983050847457626,20
n017_L_CA3_wire_5_cell_1,n118_R_CA3_wire_6_cell_2,14.779783393501802,21
n081_R_CA1_wire_5_cell_1,n085_R_CA1_wire_6_cell_1,13.762711864406779,22
n085_R_CA1_wire_6_cell_1,n105_R_CA3_wire_3_cell_1,13.357142857142854,23
n041_L_CA1_wire_3_cell_1,n081_R_CA1_wire_5_cell_1,12.97560975609756,24
n017_L_CA3_wire_5_cell_1,n077_R_CA1_wire_4_cell_1,12.850828729281767,25
n081_R_CA1_wire_5_cell_1,n118_R_CA3_wire_6_cell_2,12.751269035532994,26
n077_R_CA1_wire_4_cell_1,n105_R_CA3_wire_3_cell_1,12.664987405541561,27
n017_L_CA3_wire_5_cell_1,n041_L_CA1_wire_3_cell_1,12.39446366782007,28
n010_L_CA3_wire_3_cell_2,n014_L_CA3_wire_4_cell_2,12.201780415430264,29
n010_L_CA3_wire_3_cell_2,n110_R_CA3_wire_4_cell_2,11.913669064748198,30
n014_L_CA3_wire_4_cell_2,n081_R_CA1_wire_5_cell_1,11.88679245283019,31
n041_L_CA1_wire_3_cell_1,n085_R_CA1_wire_6_cell_1,11.750390015600622,32
n078_R_CA1_wire_4_cell_2,n097_R_CA1_wire_1_cell_1,11.28414442700157,33
n105_R_CA3_wire_3_cell_1,n118_R_CA3_wire_6_cell_2,11.182266009852217,34
n014_L_CA3_wire_4_cell_2,n041_L_CA1_wire_3_cell_1,11.08758040573973,35
n085_R_CA1_wire_6_cell_1,n097_R_CA1_wire_1_cell_1,11.085201793721971,36
n081_R_CA1_wire_5_cell_1,n097_R_CA1_wire_1_cell_1,10.901287553648068,37
n041_L_CA1_wire_3_cell_1,n105_R_CA3_wire_3_cell_1,10.859504132231406,38
n097_R_CA1_wire_1_cell_1,n118_R_CA3_wire_6_cell_2,10.763428571428571,39
n041_L_CA1_wire_3_cell_1,n118_R_CA3_wire_6_cell_2,10.306493506493506,40
n014_L_CA3_wire_4_cell_2,n085_R_CA1_wire_6_cell_1,10.118289353958144,41
n041_L_CA1_wire_3_cell_1,n077_R_CA1_wire_4_cell_1,9.968253968253968,42
n017_L_CA3_wire_5_cell_1,n097_R_CA1_wire_1_cell_1,9.693094629156011,43
n077_R_CA1_wire_4_cell_1,n078_R_CA1_wire_4_cell_2,9.621052631578948,44
n014_L_CA3_wire_4_cell_2,n017_L_CA3_wire_5_cell_1,9.438485804416402,45
n041_L_CA1_wire_3_cell_1,n078_R_CA1_wire_4_cell_2,9.403949730700178,46
n014_L_CA3_wire_4_cell_2,n105_R_CA3_wire_3_cell_1,9.277591973244148,47
n097_R_CA1_wire_1_cell_1,n105_R_CA3_wire_3_cell_1,9.136,48
n014_L_CA3_wire_4_cell_2,n077_R_CA1_wire_4_cell_1,8.986187845303867,49
n014_L_CA3_wire_4_cell_2,n078_R_CA1_wire_4_cell_2,8.857142857142856,50
n081_R_CA1_wire_5_cell_1,n109_R_CA3_wire_4_cell_1,8.758620689655173,51
n017_L_CA3_wire_5_cell_1,n110_R_CA3_wire_4_cell_2,8.712643678160916,52
n077_R_CA1_wire_4_cell_1,n085_R_CA1_wire_6_cell_1,8.701570680628272,53
n010_L_CA3_wire_3_cell_2,n109_R_CA3_wire_4_cell_1,8.653739612188366,54
n014_L_CA3_wire_4_cell_2,n118_R_CA3_wire_6_cell_2,8.63242375601926,55
n005_L_CA3_wire_2_cell_1,n085_R_CA1_wire_6_cell_1,8.511627906976742,56
n041_L_CA1_wire_3_cell_1,n097_R_CA1_wire_1_cell_1,8.351945854483926,57
n005_L_CA3_wire_2_cell_1,n041_L_CA1_wire_3_cell_1,8.351778656126484,58
n005_L_CA3_wire_2_cell_1,n010_L_CA3_wire_3_cell_2,8.268774703557312,59
