Neuron1,Neuron2,BumpScore,Rank
n010_L_CA3_wire_3_cell_2,n106_R_CA3_wire_3_cell_2,38.0,1
n010_L_CA3_wire_3_cell_2,n105_R_CA3_wire_3_cell_1,34.00000000000001,2
n010_L_CA3_wire_3_cell_2,n097_R_CA1_wire_1_cell_1,29.999999999999996,3
n097_R_CA1_wire_1_cell_1,n106_R_CA3_wire_3_cell_2,28.0,4
n013_L_CA3_wire_4_cell_1,n106_R_CA3_wire_3_cell_2,26.000000000000004,5
n097_R_CA1_wire_1_cell_1,n105_R_CA3_wire_3_cell_1,16.57142857142857,6
n010_L_CA3_wire_3_cell_2,n014_L_CA3_wire_4_cell_2,11.892215568862275,7
n005_L_CA3_wire_2_cell_1,n010_L_CA3_wire_3_cell_2,10.38229376257545,8
n005_L_CA3_wire_2_cell_1,n106_R_CA3_wire_3_cell_2,10.36363636363636,9
n005_L_CA3_wire_2_cell_1,n097_R_CA1_wire_1_cell_1,10.129032258064514,10
n010_L_CA3_wire_3_cell_2,n082_R_CA1_wire_5_cell_2,9.836734693877549,11
n014_L_CA3_wire_4_cell_2,n097_R_CA1_wire_1_cell_1,9.652173913043477,12
n013_L_CA3_wire_4_cell_1,n105_R_CA3_wire_3_cell_1,8.871794871794869,13
n014_L_CA3_wire_4_cell_2,n106_R_CA3_wire_3_cell_2,8.869565217391303,14
n014_L_CA3_wire_4_cell_2,n105_R_CA3_wire_3_cell_1,8.58610271903323,15
n013_L_CA3_wire_4_cell_1,n097_R_CA1_wire_1_cell_1,8.0,16
n010_L_CA3_wire_3_cell_2,n013_L_CA3_wire_4_cell_1,7.5061728395061715,17
n082_R_CA1_wire_5_cell_2,n097_R_CA1_wire_1_cell_1,7.499999999999999,18
n105_R_CA3_wire_3_cell_1,n106_R_CA3_wire_3_cell_2,7.3793836344314565,19
n042_L_CA1_wire_3_cell_2,n097_R_CA1_wire_1_cell_1,7.111111111111112,20
n082_R_CA1_wire_5_cell_2,n106_R_CA3_wire_3_cell_2,6.536585365853657,21
n005_L_CA3_wire_2_cell_1,n014_L_CA3_wire_4_cell_2,6.3678462210572295,22
n042_L_CA1_wire_3_cell_2,n106_R_CA3_wire_3_cell_2,5.690721649484535,23
n010_L_CA3_wire_3_cell_2,n042_L_CA1_wire_3_cell_2,5.1428571428571415,24
n006_L_CA3_wire_2_cell_2,n010_L_CA3_wire_3_cell_2,4.807947019867549,25
n005_L_CA3_wire_2_cell_1,n105_R_CA3_wire_3_cell_1,4.715867158671585,26
n006_L_CA3_wire_2_cell_2,n097_R_CA1_wire_1_cell_1,4.547770700636942,27
n042_L_CA1_wire_3_cell_2,n105_R_CA3_wire_3_cell_1,3.7037037037037015,28
n082_R_CA1_wire_5_cell_2,n105_R_CA3_wire_3_cell_1,3.677419354838709,29
n014_L_CA3_wire_4_cell_2,n082_R_CA1_wire_5_cell_2,3.5244755244755224,30
n006_L_CA3_wire_2_cell_2,n106_R_CA3_wire_3_cell_2,3.2867132867132858,31
n013_L_CA3_wire_4_cell_1,n082_R_CA1_wire_5_cell_2,3.0610718737017035,32
n013_L_CA3_wire_4_cell_1,n014_L_CA3_wire_4_cell_2,2.6981782373215157,33
n009_L_CA3_wire_3_cell_1,n010_L_CA3_wire_3_cell_2,2.5923997917751174,34
n009_L_CA3_wire_3_cell_1,n097_R_CA1_wire_1_cell_1,2.3759398496240607,35
n009_L_CA3_wire_3_cell_1,n106_R_CA3_wire_3_cell_2,1.9174434087882817,36
n009_L_CA3_wire_3_cell_1,n014_L_CA3_wire_4_cell_2,1.8220721890418072,37
n005_L_CA3_wire_2_cell_1,n013_L_CA3_wire_4_cell_1,1.7733860342555996,38
n005_L_CA3_wire_2_cell_1,n082_R_CA1_wire_5_cell_2,1.6866211329851344,39
n006_L_CA3_wire_2_cell_2,n105_R_CA3_wire_3_cell_1,1.6545454545454539,40
n042_L_CA1_wire_3_cell_2,n082_R_CA1_wire_5_cell_2,1.2979376919701622,41
n013_L_CA3_wire_4_cell_1,n042_L_CA1_wire_3_cell_2,1.2509782001117944,42
n009_L_CA3_wire_3_cell_1,n013_L_CA3_wire_4_cell_1,1.1960257569826,43
n009_L_CA3_wire_3_cell_1,n105_R_CA3_wire_3_cell_1,0.9664735825873266,44
n006_L_CA3_wire_2_cell_2,n014_L_CA3_wire_4_cell_2,0.9387002611768323,45
n006_L_CA3_wire_2_cell_2,n082_R_CA1_wire_5_cell_2,0.8990431136436937,46
n009_L_CA3_wire_3_cell_1,n082_R_CA1_wire_5_cell_2,0.8010976503422362,47
n006_L_CA3_wire_2_cell_2,n009_L_CA3_wire_3_cell_1,0.791600947235259,48
n005_L_CA3_wire_2_cell_1,n042_L_CA1_wire_3_cell_2,0.789929189614476,49
n014_L_CA3_wire_4_cell_2,n042_L_CA1_wire_3_cell_2,0.715453483845855,50
n005_L_CA3_wire_2_cell_1,n009_L_CA3_wire_3_cell_1,0.6887604879236658,51
n005_L_CA3_wire_2_cell_1,n006_L_CA3_wire_2_cell_2,0.6881106671591183,52
n006_L_CA3_wire_2_cell_2,n013_L_CA3_wire_4_cell_1,0.5520705812824515,53
n006_L_CA3_wire_2_cell_2,n042_L_CA1_wire_3_cell_2,0.3123457772824958,54
n009_L_CA3_wire_3_cell_1,n042_L_CA1_wire_3_cell_2,0.14405254099820053,55
