Neuron1,Neuron2,BumpScore,Rank
n010_L_CA3_wire_3_cell_2,n106_R_CA3_wire_3_cell_2,38.0,1
n010_L_CA3_wire_3_cell_2,n105_R_CA3_wire_3_cell_1,34.00000000000001,2
n010_L_CA3_wire_3_cell_2,n097_R_CA1_wire_1_cell_1,29.999999999999996,3
n097_R_CA1_wire_1_cell_1,n106_R_CA3_wire_3_cell_2,28.0,4
n013_L_CA3_wire_4_cell_1,n106_R_CA3_wire_3_cell_2,26.000000000000004,5
n097_R_CA1_wire_1_cell_1,n105_R_CA3_wire_3_cell_1,16.57142857142857,6
n010_L_CA3_wire_3_cell_2,n014_L_CA3_wire_4_cell_2,11.892215568862275,7
n005_L_CA3_wire_2_cell_1,n010_L_CA3_wire_3_cell_2,10.38229376257545,8
n005_L_CA3_wire_2_cell_1,n106_R_CA3_wire_3_cell_2,10.36363636363636,9
n005_L_CA3_wire_2_cell_1,n097_R_CA1_wire_1_cell_1,10.129032258064514,10
n010_L_CA3_wire_3_cell_2,n082_R_CA1_wire_5_cell_2,9.836734693877549,11
n014_L_CA3_wire_4_cell_2,n097_R_CA1_wire_1_cell_1,9.652173913043477,12
n013_L_CA3_wire_4_cell_1,n105_R_CA3_wire_3_cell_1,8.871794871794869,13
n014_L_CA3_wire_4_cell_2,n106_R_CA3_wire_3_cell_2,8.869565217391303,14
n014_L_CA3_wire_4_cell_2,n105_R_CA3_wire_3_cell_1,8.58610271903323,15
n013_L_CA3_wire_4_cell_1,n097_R_CA1_wire_1_cell_1,8.0,16
n010_L_CA3_wire_3_cell_2,n013_L_CA3_wire_4_cell_1,7.5061728395061715,17
n082_R_CA1_wire_5_cell_2,n097_R_CA1_wire_1_cell_1,7.499999999999999,18
n105_R_CA3_wire_3_cell_1,n106_R_CA3_wire_3_cell_2,7.3793836344314565,19
n042_L_CA1_wire_3_cell_2,n097_R_CA1_wire_1_cell_1,7.111111111111112,20
n082_R_CA1_wire_5_cell_2,n106_R_CA3_wire_3_cell_2,6.536585365853657,21
n005_L_CA3_wire_2_cell_1,n014_L_CA3_wire_4_cell_2,6.3678462210572295,22
n042_L_CA1_wire_3_cell_2,n106_R_CA3_wire_3_cell_2,5.690721649484535,23
n010_L_CA3_wire_3_cell_2,n042_L_CA1_wire_3_cell_2,5.1428571428571415,24
n005_L_CA3_wire_2_cell_1,n105_R_CA3_wire_3_cell_1,4.715867158671585,25
n042_L_CA1_wire_3_cell_2,n105_R_CA3_wire_3_cell_1,3.7037037037037015,26
n082_R_CA1_wire_5_cell_2,n105_R_CA3_wire_3_cell_1,3.677419354838709,27
n014_L_CA3_wire_4_cell_2,n082_R_CA1_wire_5_cell_2,3.5244755244755224,28
n013_L_CA3_wire_4_cell_1,n082_R_CA1_wire_5_cell_2,3.0610718737017035,29
n013_L_CA3_wire_4_cell_1,n014_L_CA3_wire_4_cell_2,2.6981782373215157,30
n005_L_CA3_wire_2_cell_1,n013_L_CA3_wire_4_cell_1,1.7733860342555996,31
n005_L_CA3_wire_2_cell_1,n082_R_CA1_wire_5_cell_2,1.6866211329851344,32
n042_L_CA1_wire_3_cell_2,n082_R_CA1_wire_5_cell_2,1.2979376919701622,33
n013_L_CA3_wire_4_cell_1,n042_L_CA1_wire_3_cell_2,1.2509782001117944,34
n005_L_CA3_wire_2_cell_1,n042_L_CA1_wire_3_cell_2,0.789929189614476,35
n014_L_CA3_wire_4_cell_2,n042_L_CA1_wire_3_cell_2,0.715453483845855,36
