Neuron1,Neuron2,BumpScore,Rank
n081_R_CA1_wire_5_cell_1,n082_R_CA1_wire_5_cell_2,39.696969696969695,1
n081_R_CA1_wire_5_cell_1,n097_R_CA1_wire_1_cell_1,33.428571428571416,2
n042_L_CA1_wire_3_cell_2,n081_R_CA1_wire_5_cell_1,22.16949152542372,3
n014_L_CA3_wire_4_cell_2,n042_L_CA1_wire_3_cell_2,21.74789915966386,4
n014_L_CA3_wire_4_cell_2,n082_R_CA1_wire_5_cell_2,21.647058823529406,5
n042_L_CA1_wire_3_cell_2,n082_R_CA1_wire_5_cell_2,21.544715447154466,6
n014_L_CA3_wire_4_cell_2,n097_R_CA1_wire_1_cell_1,19.26406926406926,7
n006_L_CA3_wire_2_cell_2,n097_R_CA1_wire_1_cell_1,18.59086491739553,8
n042_L_CA1_wire_3_cell_2,n097_R_CA1_wire_1_cell_1,17.880597014925367,9
n013_L_CA3_wire_4_cell_1,n097_R_CA1_wire_1_cell_1,17.79812695109261,10
n005_L_CA3_wire_2_cell_1,n097_R_CA1_wire_1_cell_1,17.1004243281471,11
n014_L_CA3_wire_4_cell_2,n081_R_CA1_wire_5_cell_1,15.921568627450972,12
n082_R_CA1_wire_5_cell_2,n097_R_CA1_wire_1_cell_1,13.826558265582655,13
n010_L_CA3_wire_3_cell_2,n097_R_CA1_wire_1_cell_1,12.946236559139782,14
n005_L_CA3_wire_2_cell_1,n042_L_CA1_wire_3_cell_2,12.81730769230769,15
n013_L_CA3_wire_4_cell_1,n042_L_CA1_wire_3_cell_2,12.069536423841056,16
n006_L_CA3_wire_2_cell_2,n042_L_CA1_wire_3_cell_2,9.921568627450975,17
n010_L_CA3_wire_3_cell_2,n042_L_CA1_wire_3_cell_2,8.683377308707122,18
n013_L_CA3_wire_4_cell_1,n082_R_CA1_wire_5_cell_2,7.32835820895522,19
n005_L_CA3_wire_2_cell_1,n082_R_CA1_wire_5_cell_2,7.062543921293041,20
n009_L_CA3_wire_3_cell_1,n097_R_CA1_wire_1_cell_1,6.812592228234136,21
n005_L_CA3_wire_2_cell_1,n081_R_CA1_wire_5_cell_1,5.894736842105263,22
n005_L_CA3_wire_2_cell_1,n014_L_CA3_wire_4_cell_2,5.806605177030644,23
n006_L_CA3_wire_2_cell_2,n082_R_CA1_wire_5_cell_2,5.510178117048343,24
n010_L_CA3_wire_3_cell_2,n081_R_CA1_wire_5_cell_1,5.313588850174213,25
n013_L_CA3_wire_4_cell_1,n014_L_CA3_wire_4_cell_2,5.048070971735091,26
n009_L_CA3_wire_3_cell_1,n042_L_CA1_wire_3_cell_2,4.987860033325395,27
n010_L_CA3_wire_3_cell_2,n082_R_CA1_wire_5_cell_2,4.831117676021661,28
n010_L_CA3_wire_3_cell_2,n014_L_CA3_wire_4_cell_2,4.633620689655169,29
n013_L_CA3_wire_4_cell_1,n081_R_CA1_wire_5_cell_1,4.606786427145705,30
n006_L_CA3_wire_2_cell_2,n081_R_CA1_wire_5_cell_1,4.4585274930102505,31
n006_L_CA3_wire_2_cell_2,n014_L_CA3_wire_4_cell_2,4.196677936204611,32
n009_L_CA3_wire_3_cell_1,n081_R_CA1_wire_5_cell_1,4.114737203710063,33
n009_L_CA3_wire_3_cell_1,n082_R_CA1_wire_5_cell_2,3.811903012490814,34
n009_L_CA3_wire_3_cell_1,n014_L_CA3_wire_4_cell_2,3.0638489208633066,35
n005_L_CA3_wire_2_cell_1,n006_L_CA3_wire_2_cell_2,2.6333656644034877,36
n009_L_CA3_wire_3_cell_1,n013_L_CA3_wire_4_cell_1,2.550252904700429,37
n006_L_CA3_wire_2_cell_2,n013_L_CA3_wire_4_cell_1,2.4495378230522515,38
n005_L_CA3_wire_2_cell_1,n013_L_CA3_wire_4_cell_1,2.164833360696109,39
n006_L_CA3_wire_2_cell_2,n009_L_CA3_wire_3_cell_1,1.9831894499306453,40
n005_L_CA3_wire_2_cell_1,n010_L_CA3_wire_3_cell_2,1.9223283948452696,41
n010_L_CA3_wire_3_cell_2,n013_L_CA3_wire_4_cell_1,1.8800137127185463,42
n009_L_CA3_wire_3_cell_1,n010_L_CA3_wire_3_cell_2,1.7707827996747278,43
n006_L_CA3_wire_2_cell_2,n010_L_CA3_wire_3_cell_2,1.4071910720847904,44
n005_L_CA3_wire_2_cell_1,n009_L_CA3_wire_3_cell_1,1.3101329335827643,45
