Neuron1,Neuron2,BumpScore,Rank
n014_L_CA3_wire_4_cell_2,n042_L_CA1_wire_3_cell_2,26.874493927125503,1
n017_L_CA3_wire_5_cell_1,n042_L_CA1_wire_3_cell_2,24.543956043956044,2
n041_L_CA1_wire_3_cell_1,n042_L_CA1_wire_3_cell_2,21.55386949924127,3
n042_L_CA1_wire_3_cell_2,n082_R_CA1_wire_5_cell_2,21.235294117647058,4
n014_L_CA3_wire_4_cell_2,n082_R_CA1_wire_5_cell_2,19.36796536796537,5
n042_L_CA1_wire_3_cell_2,n097_R_CA1_wire_1_cell_1,18.3323782234957,6
n014_L_CA3_wire_4_cell_2,n017_L_CA3_wire_5_cell_1,17.650655021834062,7
n017_L_CA3_wire_5_cell_1,n097_R_CA1_wire_1_cell_1,14.951861943687554,8
n017_L_CA3_wire_5_cell_1,n041_L_CA1_wire_3_cell_1,14.524146812620735,9
n014_L_CA3_wire_4_cell_2,n097_R_CA1_wire_1_cell_1,14.294784580498863,10
n014_L_CA3_wire_4_cell_2,n041_L_CA1_wire_3_cell_1,13.949685534591195,11
n017_L_CA3_wire_5_cell_1,n082_R_CA1_wire_5_cell_2,12.44906444906445,12
n041_L_CA1_wire_3_cell_1,n097_R_CA1_wire_1_cell_1,11.55685131195335,13
n082_R_CA1_wire_5_cell_2,n097_R_CA1_wire_1_cell_1,11.493449781659388,14
n041_L_CA1_wire_3_cell_1,n082_R_CA1_wire_5_cell_2,11.387483355525964,15
