Neuron1,Neuron2,BumpScore,Rank
n041_L_CA1_wire_3_cell_1,n097_R_CA1_wire_1_cell_1,27.043924700513404,1
n082_R_CA1_wire_5_cell_2,n097_R_CA1_wire_1_cell_1,25.90597853857946,2
n006_L_CA3_wire_2_cell_2,n041_L_CA1_wire_3_cell_1,25.097345132743364,3
n010_L_CA3_wire_3_cell_2,n097_R_CA1_wire_1_cell_1,24.718232044198892,4
n006_L_CA3_wire_2_cell_2,n097_R_CA1_wire_1_cell_1,24.347523892267596,5
n010_L_CA3_wire_3_cell_2,n041_L_CA1_wire_3_cell_1,23.164601769911503,6
n041_L_CA1_wire_3_cell_1,n082_R_CA1_wire_5_cell_2,22.80285600952003,7
n009_L_CA3_wire_3_cell_1,n041_L_CA1_wire_3_cell_1,20.964346349745334,8
n009_L_CA3_wire_3_cell_1,n097_R_CA1_wire_1_cell_1,20.55024390243902,9
n006_L_CA3_wire_2_cell_2,n010_L_CA3_wire_3_cell_2,15.587841945288755,10
n006_L_CA3_wire_2_cell_2,n082_R_CA1_wire_5_cell_2,14.862713241267262,11
n006_L_CA3_wire_2_cell_2,n009_L_CA3_wire_3_cell_1,13.45191489361702,12
n081_R_CA1_wire_5_cell_1,n097_R_CA1_wire_1_cell_1,12.955445544554454,13
n010_L_CA3_wire_3_cell_2,n082_R_CA1_wire_5_cell_2,12.611383993065589,14
n009_L_CA3_wire_3_cell_1,n082_R_CA1_wire_5_cell_2,12.061597690086622,15
n009_L_CA3_wire_3_cell_1,n010_L_CA3_wire_3_cell_2,10.928176795580109,16
n013_L_CA3_wire_4_cell_1,n097_R_CA1_wire_1_cell_1,9.992418498862774,17
n041_L_CA1_wire_3_cell_1,n081_R_CA1_wire_5_cell_1,9.312436804853387,18
n005_L_CA3_wire_2_cell_1,n097_R_CA1_wire_1_cell_1,8.344808817526195,19
n081_R_CA1_wire_5_cell_1,n082_R_CA1_wire_5_cell_2,7.572975760701391,20
n013_L_CA3_wire_4_cell_1,n041_L_CA1_wire_3_cell_1,7.183999999999999,21
n014_L_CA3_wire_4_cell_2,n097_R_CA1_wire_1_cell_1,6.191258871871497,22
n005_L_CA3_wire_2_cell_1,n041_L_CA1_wire_3_cell_1,5.981371280724449,23
n009_L_CA3_wire_3_cell_1,n081_R_CA1_wire_5_cell_1,5.347196435202377,24
n014_L_CA3_wire_4_cell_2,n041_L_CA1_wire_3_cell_1,4.403953588311129,25
n006_L_CA3_wire_2_cell_2,n081_R_CA1_wire_5_cell_1,4.056647784071975,26
n010_L_CA3_wire_3_cell_2,n081_R_CA1_wire_5_cell_1,3.8395863131257575,27
n013_L_CA3_wire_4_cell_1,n082_R_CA1_wire_5_cell_2,2.941073957085285,28
n006_L_CA3_wire_2_cell_2,n013_L_CA3_wire_4_cell_1,2.4778216952129997,29
n013_L_CA3_wire_4_cell_1,n081_R_CA1_wire_5_cell_1,2.342549121891845,30
n009_L_CA3_wire_3_cell_1,n014_L_CA3_wire_4_cell_2,2.3068467720266734,31
n005_L_CA3_wire_2_cell_1,n006_L_CA3_wire_2_cell_2,2.2692429521697814,32
n041_L_CA1_wire_3_cell_1,n042_L_CA1_wire_3_cell_2,1.9468208092485535,33
n042_L_CA1_wire_3_cell_2,n097_R_CA1_wire_1_cell_1,1.941134242641779,34
n010_L_CA3_wire_3_cell_2,n013_L_CA3_wire_4_cell_1,1.8667914675599788,35
n009_L_CA3_wire_3_cell_1,n013_L_CA3_wire_4_cell_1,1.603545527800161,36
n005_L_CA3_wire_2_cell_1,n010_L_CA3_wire_3_cell_2,1.5604197450474593,37
n005_L_CA3_wire_2_cell_1,n009_L_CA3_wire_3_cell_1,1.524462449361172,38
n005_L_CA3_wire_2_cell_1,n082_R_CA1_wire_5_cell_2,1.489689135118498,39
n006_L_CA3_wire_2_cell_2,n014_L_CA3_wire_4_cell_2,1.1901489517563753,40
n014_L_CA3_wire_4_cell_2,n081_R_CA1_wire_5_cell_1,1.061412409037847,41
n006_L_CA3_wire_2_cell_2,n042_L_CA1_wire_3_cell_2,0.9970617042115557,42
n010_L_CA3_wire_3_cell_2,n014_L_CA3_wire_4_cell_2,0.9060701871526489,43
n042_L_CA1_wire_3_cell_2,n082_R_CA1_wire_5_cell_2,0.8091029157777105,44
n005_L_CA3_wire_2_cell_1,n081_R_CA1_wire_5_cell_1,0.7249839021249195,45
n014_L_CA3_wire_4_cell_2,n082_R_CA1_wire_5_cell_2,0.6989506761685653,46
n010_L_CA3_wire_3_cell_2,n042_L_CA1_wire_3_cell_2,0.6925943621595794,47
n009_L_CA3_wire_3_cell_1,n042_L_CA1_wire_3_cell_2,0.6122523177604071,48
n042_L_CA1_wire_3_cell_2,n081_R_CA1_wire_5_cell_1,0.5917083132710155,49
n005_L_CA3_wire_2_cell_1,n014_L_CA3_wire_4_cell_2,0.4784325853193394,50
n005_L_CA3_wire_2_cell_1,n013_L_CA3_wire_4_cell_1,0.3960980214766147,51
n013_L_CA3_wire_4_cell_1,n042_L_CA1_wire_3_cell_2,0.34674201815570266,52
n013_L_CA3_wire_4_cell_1,n014_L_CA3_wire_4_cell_2,0.21688485216122522,53
n014_L_CA3_wire_4_cell_2,n042_L_CA1_wire_3_cell_2,0.1397451574741985,54
n005_L_CA3_wire_2_cell_1,n042_L_CA1_wire_3_cell_2,0.12951826588242635,55
