Neuron1,Neuron2,BumpScore,Rank
n041_L_CA1_wire_3_cell_1,n097_R_CA1_wire_1_cell_1,33.7466702908399,1
n010_L_CA3_wire_3_cell_2,n097_R_CA1_wire_1_cell_1,27.946675232894314,2
n082_R_CA1_wire_5_cell_2,n097_R_CA1_wire_1_cell_1,27.60792079207921,3
n006_L_CA3_wire_2_cell_2,n041_L_CA1_wire_3_cell_1,27.269698910954517,4
n006_L_CA3_wire_2_cell_2,n097_R_CA1_wire_1_cell_1,26.349171270718237,5
n010_L_CA3_wire_3_cell_2,n041_L_CA1_wire_3_cell_1,24.02315484804631,6
n041_L_CA1_wire_3_cell_1,n082_R_CA1_wire_5_cell_2,23.663212435233163,7
n009_L_CA3_wire_3_cell_1,n097_R_CA1_wire_1_cell_1,19.03253796095445,8
n009_L_CA3_wire_3_cell_1,n041_L_CA1_wire_3_cell_1,18.08246153846154,9
n006_L_CA3_wire_2_cell_2,n010_L_CA3_wire_3_cell_2,13.095666394112836,10
n006_L_CA3_wire_2_cell_2,n082_R_CA1_wire_5_cell_2,12.058498023715416,11
n010_L_CA3_wire_3_cell_2,n082_R_CA1_wire_5_cell_2,10.39227340267459,12
n009_L_CA3_wire_3_cell_1,n082_R_CA1_wire_5_cell_2,10.023357664233576,13
n006_L_CA3_wire_2_cell_2,n009_L_CA3_wire_3_cell_1,9.524105754276826,14
n081_R_CA1_wire_5_cell_1,n097_R_CA1_wire_1_cell_1,9.006718721627019,15
n009_L_CA3_wire_3_cell_1,n010_L_CA3_wire_3_cell_2,8.388930441286462,16
n081_R_CA1_wire_5_cell_1,n082_R_CA1_wire_5_cell_2,7.593693384909171,17
n041_L_CA1_wire_3_cell_1,n081_R_CA1_wire_5_cell_1,6.9576220124523,18
n009_L_CA3_wire_3_cell_1,n081_R_CA1_wire_5_cell_1,4.960662920278122,19
n006_L_CA3_wire_2_cell_2,n081_R_CA1_wire_5_cell_1,2.7927155865024105,20
n010_L_CA3_wire_3_cell_2,n081_R_CA1_wire_5_cell_1,2.7489736419349073,21
