Neuron1,Neuron2,BumpScore,Rank
n041_L_CA1_wire_3_cell_1,n086_R_CA1_wire_6_cell_2,91.99999999999997,1
n086_R_CA1_wire_6_cell_2,n097_R_CA1_wire_1_cell_1,83.99999999999999,2
n086_R_CA1_wire_6_cell_2,n118_R_CA3_wire_6_cell_2,69.99999999999997,3
n010_L_CA3_wire_3_cell_2,n086_R_CA1_wire_6_cell_2,65.99999999999999,4
n086_R_CA1_wire_6_cell_2,n105_R_CA3_wire_3_cell_1,65.99999999999997,5
n041_L_CA1_wire_3_cell_1,n097_R_CA1_wire_1_cell_1,55.54430379746836,6
n010_L_CA3_wire_3_cell_2,n097_R_CA1_wire_1_cell_1,49.60655737704917,7
n010_L_CA3_wire_3_cell_2,n041_L_CA1_wire_3_cell_1,46.00000000000001,8
n041_L_CA1_wire_3_cell_1,n081_R_CA1_wire_5_cell_1,43.75757575757575,9
n041_L_CA1_wire_3_cell_1,n082_R_CA1_wire_5_cell_2,35.99999999999999,10
n086_R_CA1_wire_6_cell_2,n106_R_CA3_wire_3_cell_2,35.818181818181806,11
n006_L_CA3_wire_2_cell_2,n097_R_CA1_wire_1_cell_1,35.5609756097561,12
n081_R_CA1_wire_5_cell_1,n097_R_CA1_wire_1_cell_1,34.852459016393446,13
n097_R_CA1_wire_1_cell_1,n118_R_CA3_wire_6_cell_2,30.137931034482754,14
n082_R_CA1_wire_5_cell_2,n097_R_CA1_wire_1_cell_1,29.45454545454545,15
n010_L_CA3_wire_3_cell_2,n118_R_CA3_wire_6_cell_2,26.033057851239665,16
n010_L_CA3_wire_3_cell_2,n081_R_CA1_wire_5_cell_1,25.217391304347824,17
n041_L_CA1_wire_3_cell_1,n105_R_CA3_wire_3_cell_1,24.75,18
n010_L_CA3_wire_3_cell_2,n082_R_CA1_wire_5_cell_2,24.666666666666668,19
n041_L_CA1_wire_3_cell_1,n118_R_CA3_wire_6_cell_2,24.232558139534873,20
n097_R_CA1_wire_1_cell_1,n106_R_CA3_wire_3_cell_2,23.879396984924618,21
n006_L_CA3_wire_2_cell_2,n010_L_CA3_wire_3_cell_2,23.627118644067796,22
n082_R_CA1_wire_5_cell_2,n086_R_CA1_wire_6_cell_2,23.11111111111111,23
n097_R_CA1_wire_1_cell_1,n105_R_CA3_wire_3_cell_1,21.837837837837835,24
n006_L_CA3_wire_2_cell_2,n086_R_CA1_wire_6_cell_2,21.491525423728813,25
n041_L_CA1_wire_3_cell_1,n106_R_CA3_wire_3_cell_2,21.40106951871658,26
n081_R_CA1_wire_5_cell_1,n086_R_CA1_wire_6_cell_2,19.91150442477876,27
n006_L_CA3_wire_2_cell_2,n041_L_CA1_wire_3_cell_1,19.330143540669855,28
n010_L_CA3_wire_3_cell_2,n106_R_CA3_wire_3_cell_2,18.658227848101266,29
n010_L_CA3_wire_3_cell_2,n105_R_CA3_wire_3_cell_1,17.399061032863848,30
n081_R_CA1_wire_5_cell_1,n082_R_CA1_wire_5_cell_2,13.952894995093226,31
n081_R_CA1_wire_5_cell_1,n105_R_CA3_wire_3_cell_1,13.04129263913824,32
n081_R_CA1_wire_5_cell_1,n118_R_CA3_wire_6_cell_2,11.718954248366012,33
n082_R_CA1_wire_5_cell_2,n118_R_CA3_wire_6_cell_2,11.354449472096528,34
n082_R_CA1_wire_5_cell_2,n105_R_CA3_wire_3_cell_1,8.851642129105322,35
n082_R_CA1_wire_5_cell_2,n106_R_CA3_wire_3_cell_2,8.143509458577952,36
n081_R_CA1_wire_5_cell_1,n106_R_CA3_wire_3_cell_2,8.083665338645417,37
n006_L_CA3_wire_2_cell_2,n106_R_CA3_wire_3_cell_2,7.868116927260365,38
n006_L_CA3_wire_2_cell_2,n118_R_CA3_wire_6_cell_2,7.534808418780354,39
n006_L_CA3_wire_2_cell_2,n105_R_CA3_wire_3_cell_1,7.352480417754569,40
n006_L_CA3_wire_2_cell_2,n082_R_CA1_wire_5_cell_2,7.3468173706127295,41
n106_R_CA3_wire_3_cell_2,n118_R_CA3_wire_6_cell_2,7.218617771509168,42
n105_R_CA3_wire_3_cell_1,n106_R_CA3_wire_3_cell_2,6.718945176960443,43
n105_R_CA3_wire_3_cell_1,n118_R_CA3_wire_6_cell_2,6.492753623188406,44
n006_L_CA3_wire_2_cell_2,n081_R_CA1_wire_5_cell_1,5.230769230769228,45
