Neuron1,Neuron2,BumpScore,Rank
n041_L_CA1_wire_3_cell_1,n106_R_CA3_wire_3_cell_2,15.73945641986879,1
n014_L_CA3_wire_4_cell_2,n041_L_CA1_wire_3_cell_1,15.542612419700212,2
n097_R_CA1_wire_1_cell_1,n118_R_CA3_wire_6_cell_2,14.960547080483956,3
n014_L_CA3_wire_4_cell_2,n097_R_CA1_wire_1_cell_1,14.381112984822932,4
n041_L_CA1_wire_3_cell_1,n097_R_CA1_wire_1_cell_1,14.275071633237822,5
n041_L_CA1_wire_3_cell_1,n118_R_CA3_wire_6_cell_2,13.828693790149892,6
n014_L_CA3_wire_4_cell_2,n086_R_CA1_wire_6_cell_2,13.551839464882942,7
n086_R_CA1_wire_6_cell_2,n097_R_CA1_wire_1_cell_1,13.069577080491133,8
n097_R_CA1_wire_1_cell_1,n106_R_CA3_wire_3_cell_2,12.637075718015662,9
n014_L_CA3_wire_4_cell_2,n118_R_CA3_wire_6_cell_2,12.636523781561948,10
n006_L_CA3_wire_2_cell_2,n097_R_CA1_wire_1_cell_1,12.484024473147516,11
n010_L_CA3_wire_3_cell_2,n041_L_CA1_wire_3_cell_1,12.448742746615086,12
n041_L_CA1_wire_3_cell_1,n105_R_CA3_wire_3_cell_1,12.443579766536963,13
n041_L_CA1_wire_3_cell_1,n086_R_CA1_wire_6_cell_2,12.102857142857141,14
n082_R_CA1_wire_5_cell_2,n097_R_CA1_wire_1_cell_1,12.044975404075894,15
n041_L_CA1_wire_3_cell_1,n082_R_CA1_wire_5_cell_2,11.749456915278781,16
n006_L_CA3_wire_2_cell_2,n041_L_CA1_wire_3_cell_1,11.720101781170484,17
n097_R_CA1_wire_1_cell_1,n105_R_CA3_wire_3_cell_1,10.965034965034965,18
n013_L_CA3_wire_4_cell_1,n041_L_CA1_wire_3_cell_1,10.383790226460071,19
n010_L_CA3_wire_3_cell_2,n118_R_CA3_wire_6_cell_2,9.905912818299523,20
n086_R_CA1_wire_6_cell_2,n118_R_CA3_wire_6_cell_2,9.70359712230216,21
n010_L_CA3_wire_3_cell_2,n097_R_CA1_wire_1_cell_1,9.636363636363635,22
n041_L_CA1_wire_3_cell_1,n081_R_CA1_wire_5_cell_1,9.612903225806448,23
n014_L_CA3_wire_4_cell_2,n106_R_CA3_wire_3_cell_2,9.438423645320196,24
n006_L_CA3_wire_2_cell_2,n014_L_CA3_wire_4_cell_2,8.970251716247137,25
n010_L_CA3_wire_3_cell_2,n014_L_CA3_wire_4_cell_2,8.885375494071143,26
n013_L_CA3_wire_4_cell_1,n097_R_CA1_wire_1_cell_1,8.298646034816247,27
n081_R_CA1_wire_5_cell_1,n097_R_CA1_wire_1_cell_1,8.225941422594138,28
n014_L_CA3_wire_4_cell_2,n105_R_CA3_wire_3_cell_1,8.105263157894736,29
n014_L_CA3_wire_4_cell_2,n082_R_CA1_wire_5_cell_2,7.720329024676849,30
n081_R_CA1_wire_5_cell_1,n082_R_CA1_wire_5_cell_2,6.957452966714904,31
n106_R_CA3_wire_3_cell_2,n118_R_CA3_wire_6_cell_2,6.587050359712229,32
n086_R_CA1_wire_6_cell_2,n106_R_CA3_wire_3_cell_2,6.578199052132699,33
n081_R_CA1_wire_5_cell_1,n086_R_CA1_wire_6_cell_2,6.4870466321243505,34
n014_L_CA3_wire_4_cell_2,n081_R_CA1_wire_5_cell_1,6.362790697674418,35
n082_R_CA1_wire_5_cell_2,n086_R_CA1_wire_6_cell_2,5.73190348525469,36
n105_R_CA3_wire_3_cell_1,n118_R_CA3_wire_6_cell_2,5.477707006369425,37
n013_L_CA3_wire_4_cell_1,n014_L_CA3_wire_4_cell_2,5.453705288379256,38
n105_R_CA3_wire_3_cell_1,n106_R_CA3_wire_3_cell_2,5.378987664823477,39
n086_R_CA1_wire_6_cell_2,n105_R_CA3_wire_3_cell_1,5.2504038772213235,40
n005_L_CA3_wire_2_cell_1,n041_L_CA1_wire_3_cell_1,4.961002785515319,41
n010_L_CA3_wire_3_cell_2,n086_R_CA1_wire_6_cell_2,4.583463338533542,42
n006_L_CA3_wire_2_cell_2,n118_R_CA3_wire_6_cell_2,4.388995710693682,43
n082_R_CA1_wire_5_cell_2,n118_R_CA3_wire_6_cell_2,4.3881106935428775,44
n009_L_CA3_wire_3_cell_1,n010_L_CA3_wire_3_cell_2,3.8270368808412796,45
n082_R_CA1_wire_5_cell_2,n106_R_CA3_wire_3_cell_2,3.750927835051545,46
n013_L_CA3_wire_4_cell_1,n118_R_CA3_wire_6_cell_2,3.7052114406036134,47
n041_L_CA1_wire_3_cell_1,n042_L_CA1_wire_3_cell_2,3.693542502736225,48
n006_L_CA3_wire_2_cell_2,n086_R_CA1_wire_6_cell_2,3.6498054474708166,49
n009_L_CA3_wire_3_cell_1,n118_R_CA3_wire_6_cell_2,3.5828920386686782,50
n006_L_CA3_wire_2_cell_2,n106_R_CA3_wire_3_cell_2,3.531331283991487,51
n010_L_CA3_wire_3_cell_2,n106_R_CA3_wire_3_cell_2,3.4708520179372186,52
n041_L_CA1_wire_3_cell_1,n117_R_CA3_wire_6_cell_1,3.3208891072086453,53
n081_R_CA1_wire_5_cell_1,n105_R_CA3_wire_3_cell_1,3.302052785923752,54
n010_L_CA3_wire_3_cell_2,n105_R_CA3_wire_3_cell_1,3.276749435665914,55
n081_R_CA1_wire_5_cell_1,n106_R_CA3_wire_3_cell_2,3.2334728033472797,56
n006_L_CA3_wire_2_cell_2,n010_L_CA3_wire_3_cell_2,2.9059065320346704,57
n013_L_CA3_wire_4_cell_1,n086_R_CA1_wire_6_cell_2,2.823161189358371,58
n005_L_CA3_wire_2_cell_1,n097_R_CA1_wire_1_cell_1,2.7755102040816313,59
n010_L_CA3_wire_3_cell_2,n013_L_CA3_wire_4_cell_1,2.7283836326606177,60
n009_L_CA3_wire_3_cell_1,n041_L_CA1_wire_3_cell_1,2.704288939051917,61
n006_L_CA3_wire_2_cell_2,n105_R_CA3_wire_3_cell_1,2.5325058184639246,62
n117_R_CA3_wire_6_cell_1,n118_R_CA3_wire_6_cell_2,2.510460251046024,63
n013_L_CA3_wire_4_cell_1,n105_R_CA3_wire_3_cell_1,2.5018076644974694,64
n105_R_CA3_wire_3_cell_1,n117_R_CA3_wire_6_cell_1,2.496812594653611,65
n005_L_CA3_wire_2_cell_1,n014_L_CA3_wire_4_cell_2,2.3974290305302617,66
n082_R_CA1_wire_5_cell_2,n105_R_CA3_wire_3_cell_1,2.328587075575027,67
n013_L_CA3_wire_4_cell_1,n106_R_CA3_wire_3_cell_2,2.278922345483359,68
n010_L_CA3_wire_3_cell_2,n117_R_CA3_wire_6_cell_1,2.263186959278423,69
n081_R_CA1_wire_5_cell_1,n118_R_CA3_wire_6_cell_2,2.1166861143523916,70
n010_L_CA3_wire_3_cell_2,n082_R_CA1_wire_5_cell_2,2.088952654232424,71
n005_L_CA3_wire_2_cell_1,n118_R_CA3_wire_6_cell_2,2.0264900662251644,72
n006_L_CA3_wire_2_cell_2,n009_L_CA3_wire_3_cell_1,1.9227067821506354,73
n106_R_CA3_wire_3_cell_2,n117_R_CA3_wire_6_cell_1,1.865778946485019,74
n006_L_CA3_wire_2_cell_2,n081_R_CA1_wire_5_cell_1,1.83785807901142,75
n013_L_CA3_wire_4_cell_1,n081_R_CA1_wire_5_cell_1,1.8038918372504409,76
n042_L_CA1_wire_3_cell_2,n097_R_CA1_wire_1_cell_1,1.712788004388638,77
n005_L_CA3_wire_2_cell_1,n010_L_CA3_wire_3_cell_2,1.6875136877014048,78
n010_L_CA3_wire_3_cell_2,n081_R_CA1_wire_5_cell_1,1.5882352941176456,79
n005_L_CA3_wire_2_cell_1,n086_R_CA1_wire_6_cell_2,1.5711340206185564,80
n097_R_CA1_wire_1_cell_1,n117_R_CA3_wire_6_cell_1,1.5393371275527277,81
n014_L_CA3_wire_4_cell_2,n117_R_CA3_wire_6_cell_1,1.4059204675390662,82
n009_L_CA3_wire_3_cell_1,n014_L_CA3_wire_4_cell_2,1.4038469813675278,83
n014_L_CA3_wire_4_cell_2,n042_L_CA1_wire_3_cell_2,1.3635834787667238,84
n009_L_CA3_wire_3_cell_1,n097_R_CA1_wire_1_cell_1,1.351357832264252,85
n006_L_CA3_wire_2_cell_2,n013_L_CA3_wire_4_cell_1,1.272542854244851,86
n006_L_CA3_wire_2_cell_2,n082_R_CA1_wire_5_cell_2,1.269003818118708,87
n013_L_CA3_wire_4_cell_1,n082_R_CA1_wire_5_cell_2,1.2295081967213115,88
n006_L_CA3_wire_2_cell_2,n117_R_CA3_wire_6_cell_1,1.1975189314661894,89
n009_L_CA3_wire_3_cell_1,n105_R_CA3_wire_3_cell_1,1.1809491418368216,90
n086_R_CA1_wire_6_cell_2,n117_R_CA3_wire_6_cell_1,1.166536356528538,91
n081_R_CA1_wire_5_cell_1,n117_R_CA3_wire_6_cell_1,1.1561699429296137,92
n005_L_CA3_wire_2_cell_1,n106_R_CA3_wire_3_cell_2,1.093670449152177,93
n042_L_CA1_wire_3_cell_2,n086_R_CA1_wire_6_cell_2,1.0617370073247296,94
n013_L_CA3_wire_4_cell_1,n117_R_CA3_wire_6_cell_1,1.060052516328407,95
n009_L_CA3_wire_3_cell_1,n081_R_CA1_wire_5_cell_1,1.0488377596155594,96
n009_L_CA3_wire_3_cell_1,n106_R_CA3_wire_3_cell_2,1.0455627140286716,97
n042_L_CA1_wire_3_cell_2,n118_R_CA3_wire_6_cell_2,1.037077725899478,98
n009_L_CA3_wire_3_cell_1,n082_R_CA1_wire_5_cell_2,1.0333383358703339,99
n005_L_CA3_wire_2_cell_1,n105_R_CA3_wire_3_cell_1,1.0219025825433148,100
n005_L_CA3_wire_2_cell_1,n006_L_CA3_wire_2_cell_2,1.0140123660044633,101
n009_L_CA3_wire_3_cell_1,n013_L_CA3_wire_4_cell_1,0.9959314613006929,102
n082_R_CA1_wire_5_cell_2,n117_R_CA3_wire_6_cell_1,0.9248033139094554,103
n009_L_CA3_wire_3_cell_1,n086_R_CA1_wire_6_cell_2,0.8930195452732331,104
n009_L_CA3_wire_3_cell_1,n117_R_CA3_wire_6_cell_1,0.8203615611504441,105
n005_L_CA3_wire_2_cell_1,n009_L_CA3_wire_3_cell_1,0.7468725588155147,106
n005_L_CA3_wire_2_cell_1,n013_L_CA3_wire_4_cell_1,0.6986554539676324,107
n042_L_CA1_wire_3_cell_2,n106_R_CA3_wire_3_cell_2,0.6866672253414905,108
n010_L_CA3_wire_3_cell_2,n042_L_CA1_wire_3_cell_2,0.6038573528987801,109
n005_L_CA3_wire_2_cell_1,n081_R_CA1_wire_5_cell_1,0.563586459286368,110
n005_L_CA3_wire_2_cell_1,n082_R_CA1_wire_5_cell_2,0.49410620411755124,111
n005_L_CA3_wire_2_cell_1,n117_R_CA3_wire_6_cell_1,0.48127427215004115,112
n042_L_CA1_wire_3_cell_2,n081_R_CA1_wire_5_cell_1,0.42393727972380074,113
n042_L_CA1_wire_3_cell_2,n105_R_CA3_wire_3_cell_1,0.41868112107277766,114
n013_L_CA3_wire_4_cell_1,n042_L_CA1_wire_3_cell_2,0.3594966299885509,115
n042_L_CA1_wire_3_cell_2,n082_R_CA1_wire_5_cell_2,0.33134908202268354,116
n006_L_CA3_wire_2_cell_2,n042_L_CA1_wire_3_cell_2,0.2774728156358165,117
n005_L_CA3_wire_2_cell_1,n042_L_CA1_wire_3_cell_2,0.16470167775240735,118
n042_L_CA1_wire_3_cell_2,n117_R_CA3_wire_6_cell_1,0.12942378144279326,119
n009_L_CA3_wire_3_cell_1,n042_L_CA1_wire_3_cell_2,0.09455595156590624,120
