Neuron1,Neuron2,BumpScore,Rank
n041_L_CA1_wire_3_cell_1,n106_R_CA3_wire_3_cell_2,15.739456419868787,1
n014_L_CA3_wire_4_cell_2,n041_L_CA1_wire_3_cell_1,15.542612419700212,2
n097_R_CA1_wire_1_cell_1,n118_R_CA3_wire_6_cell_2,14.960547080483957,3
n014_L_CA3_wire_4_cell_2,n097_R_CA1_wire_1_cell_1,14.381112984822934,4
n041_L_CA1_wire_3_cell_1,n097_R_CA1_wire_1_cell_1,14.275071633237822,5
n041_L_CA1_wire_3_cell_1,n118_R_CA3_wire_6_cell_2,13.82869379014989,6
n014_L_CA3_wire_4_cell_2,n086_R_CA1_wire_6_cell_2,13.551839464882942,7
n086_R_CA1_wire_6_cell_2,n097_R_CA1_wire_1_cell_1,13.069577080491133,8
n097_R_CA1_wire_1_cell_1,n106_R_CA3_wire_3_cell_2,12.637075718015666,9
n014_L_CA3_wire_4_cell_2,n118_R_CA3_wire_6_cell_2,12.636523781561948,10
n006_L_CA3_wire_2_cell_2,n097_R_CA1_wire_1_cell_1,12.484024473147517,11
n010_L_CA3_wire_3_cell_2,n041_L_CA1_wire_3_cell_1,12.448742746615086,12
n041_L_CA1_wire_3_cell_1,n105_R_CA3_wire_3_cell_1,12.443579766536962,13
n041_L_CA1_wire_3_cell_1,n086_R_CA1_wire_6_cell_2,12.102857142857143,14
n082_R_CA1_wire_5_cell_2,n097_R_CA1_wire_1_cell_1,12.044975404075895,15
n041_L_CA1_wire_3_cell_1,n082_R_CA1_wire_5_cell_2,11.749456915278785,16
n006_L_CA3_wire_2_cell_2,n041_L_CA1_wire_3_cell_1,11.72010178117048,17
n097_R_CA1_wire_1_cell_1,n105_R_CA3_wire_3_cell_1,10.965034965034963,18
n010_L_CA3_wire_3_cell_2,n118_R_CA3_wire_6_cell_2,9.905912818299523,19
n086_R_CA1_wire_6_cell_2,n118_R_CA3_wire_6_cell_2,9.703597122302156,20
n010_L_CA3_wire_3_cell_2,n097_R_CA1_wire_1_cell_1,9.636363636363635,21
n041_L_CA1_wire_3_cell_1,n081_R_CA1_wire_5_cell_1,9.612903225806452,22
n014_L_CA3_wire_4_cell_2,n106_R_CA3_wire_3_cell_2,9.438423645320196,23
n006_L_CA3_wire_2_cell_2,n014_L_CA3_wire_4_cell_2,8.970251716247137,24
n010_L_CA3_wire_3_cell_2,n014_L_CA3_wire_4_cell_2,8.885375494071145,25
n081_R_CA1_wire_5_cell_1,n097_R_CA1_wire_1_cell_1,8.22594142259414,26
n014_L_CA3_wire_4_cell_2,n105_R_CA3_wire_3_cell_1,8.105263157894736,27
n014_L_CA3_wire_4_cell_2,n082_R_CA1_wire_5_cell_2,7.720329024676849,28
n081_R_CA1_wire_5_cell_1,n082_R_CA1_wire_5_cell_2,6.957452966714905,29
n106_R_CA3_wire_3_cell_2,n118_R_CA3_wire_6_cell_2,6.5870503597122285,30
n086_R_CA1_wire_6_cell_2,n106_R_CA3_wire_3_cell_2,6.578199052132703,31
n081_R_CA1_wire_5_cell_1,n086_R_CA1_wire_6_cell_2,6.4870466321243505,32
n014_L_CA3_wire_4_cell_2,n081_R_CA1_wire_5_cell_1,6.362790697674417,33
n082_R_CA1_wire_5_cell_2,n086_R_CA1_wire_6_cell_2,5.73190348525469,34
n105_R_CA3_wire_3_cell_1,n118_R_CA3_wire_6_cell_2,5.477707006369424,35
n105_R_CA3_wire_3_cell_1,n106_R_CA3_wire_3_cell_2,5.378987664823478,36
n086_R_CA1_wire_6_cell_2,n105_R_CA3_wire_3_cell_1,5.2504038772213235,37
n010_L_CA3_wire_3_cell_2,n086_R_CA1_wire_6_cell_2,4.583463338533541,38
n006_L_CA3_wire_2_cell_2,n118_R_CA3_wire_6_cell_2,4.388995710693683,39
n082_R_CA1_wire_5_cell_2,n118_R_CA3_wire_6_cell_2,4.388110693542876,40
n082_R_CA1_wire_5_cell_2,n106_R_CA3_wire_3_cell_2,3.750927835051545,41
n006_L_CA3_wire_2_cell_2,n086_R_CA1_wire_6_cell_2,3.6498054474708166,42
n006_L_CA3_wire_2_cell_2,n106_R_CA3_wire_3_cell_2,3.531331283991485,43
n010_L_CA3_wire_3_cell_2,n106_R_CA3_wire_3_cell_2,3.4708520179372186,44
n081_R_CA1_wire_5_cell_1,n105_R_CA3_wire_3_cell_1,3.3020527859237534,45
n010_L_CA3_wire_3_cell_2,n105_R_CA3_wire_3_cell_1,3.2767494356659137,46
n081_R_CA1_wire_5_cell_1,n106_R_CA3_wire_3_cell_2,3.2334728033472784,47
n006_L_CA3_wire_2_cell_2,n010_L_CA3_wire_3_cell_2,2.9059065320346695,48
n006_L_CA3_wire_2_cell_2,n105_R_CA3_wire_3_cell_1,2.532505818463924,49
n082_R_CA1_wire_5_cell_2,n105_R_CA3_wire_3_cell_1,2.328587075575027,50
n081_R_CA1_wire_5_cell_1,n118_R_CA3_wire_6_cell_2,2.1166861143523916,51
n010_L_CA3_wire_3_cell_2,n082_R_CA1_wire_5_cell_2,2.0889526542324237,52
n006_L_CA3_wire_2_cell_2,n081_R_CA1_wire_5_cell_1,1.837858079011422,53
n010_L_CA3_wire_3_cell_2,n081_R_CA1_wire_5_cell_1,1.5882352941176467,54
n006_L_CA3_wire_2_cell_2,n082_R_CA1_wire_5_cell_2,1.2690038181187082,55
