Neuron1,Neuron2,BumpScore,Rank
n041_L_CA1_wire_3_cell_1,n077_R_CA1_wire_4_cell_1,10.099173553719009,1
n077_R_CA1_wire_4_cell_1,n109_R_CA3_wire_4_cell_1,9.936842105263159,2
n041_L_CA1_wire_3_cell_1,n109_R_CA3_wire_4_cell_1,9.866666666666667,3
n014_L_CA3_wire_4_cell_2,n041_L_CA1_wire_3_cell_1,8.752941176470587,4
n077_R_CA1_wire_4_cell_1,n097_R_CA1_wire_1_cell_1,8.736462093862812,5
n041_L_CA1_wire_3_cell_1,n097_R_CA1_wire_1_cell_1,8.17801047120419,6
n005_L_CA3_wire_2_cell_1,n041_L_CA1_wire_3_cell_1,8.12541993281075,7
n097_R_CA1_wire_1_cell_1,n109_R_CA3_wire_4_cell_1,7.694915254237288,8
n014_L_CA3_wire_4_cell_2,n109_R_CA3_wire_4_cell_1,6.945273631840797,9
n005_L_CA3_wire_2_cell_1,n077_R_CA1_wire_4_cell_1,6.845070422535212,10
n014_L_CA3_wire_4_cell_2,n077_R_CA1_wire_4_cell_1,6.837209302325582,11
n005_L_CA3_wire_2_cell_1,n097_R_CA1_wire_1_cell_1,6.666666666666666,12
n005_L_CA3_wire_2_cell_1,n109_R_CA3_wire_4_cell_1,6.470588235294118,13
n014_L_CA3_wire_4_cell_2,n097_R_CA1_wire_1_cell_1,4.9913043478260875,14
n005_L_CA3_wire_2_cell_1,n014_L_CA3_wire_4_cell_2,2.4221879815100147,15
