Neuron1,Neuron2,BumpScore,Rank
n010_L_CA3_wire_3_cell_2,n085_R_CA1_wire_6_cell_1,21.306122448979586,1
n010_L_CA3_wire_3_cell_2,n017_L_CA3_wire_5_cell_1,20.56,2
n081_R_CA1_wire_5_cell_1,n105_R_CA3_wire_3_cell_1,20.29339853300733,3
n010_L_CA3_wire_3_cell_2,n081_R_CA1_wire_5_cell_1,19.290322580645157,4
n085_R_CA1_wire_6_cell_1,n118_R_CA3_wire_6_cell_2,18.153846153846153,5
n010_L_CA3_wire_3_cell_2,n105_R_CA3_wire_3_cell_1,17.799999999999997,6
n078_R_CA1_wire_4_cell_2,n105_R_CA3_wire_3_cell_1,17.492260061919502,7
n078_R_CA1_wire_4_cell_2,n081_R_CA1_wire_5_cell_1,16.627450980392155,8
n010_L_CA3_wire_3_cell_2,n118_R_CA3_wire_6_cell_2,16.228571428571424,9
n078_R_CA1_wire_4_cell_2,n118_R_CA3_wire_6_cell_2,13.692307692307693,10
n077_R_CA1_wire_4_cell_1,n081_R_CA1_wire_5_cell_1,13.574468085106384,11
n017_L_CA3_wire_5_cell_1,n081_R_CA1_wire_5_cell_1,13.004784688995214,12
n017_L_CA3_wire_5_cell_1,n105_R_CA3_wire_3_cell_1,12.933333333333334,13
n017_L_CA3_wire_5_cell_1,n078_R_CA1_wire_4_cell_2,12.338461538461537,14
n010_L_CA3_wire_3_cell_2,n078_R_CA1_wire_4_cell_2,12.181818181818183,15
n010_L_CA3_wire_3_cell_2,n041_L_CA1_wire_3_cell_1,12.14736842105263,16
n081_R_CA1_wire_5_cell_1,n085_R_CA1_wire_6_cell_1,12.144329896907216,17
n017_L_CA3_wire_5_cell_1,n118_R_CA3_wire_6_cell_2,12.101694915254237,18
n078_R_CA1_wire_4_cell_2,n085_R_CA1_wire_6_cell_1,12.061538461538458,19
n081_R_CA1_wire_5_cell_1,n118_R_CA3_wire_6_cell_2,11.871186440677965,20
n017_L_CA3_wire_5_cell_1,n085_R_CA1_wire_6_cell_1,11.485714285714288,21
n041_L_CA1_wire_3_cell_1,n081_R_CA1_wire_5_cell_1,11.48131868131868,22
n010_L_CA3_wire_3_cell_2,n109_R_CA3_wire_4_cell_1,11.359773371104813,23
n105_R_CA3_wire_3_cell_1,n118_R_CA3_wire_6_cell_2,11.098039215686274,24
n010_L_CA3_wire_3_cell_2,n077_R_CA1_wire_4_cell_1,10.929577464788732,25
n010_L_CA3_wire_3_cell_2,n097_R_CA1_wire_1_cell_1,10.899082568807337,26
n077_R_CA1_wire_4_cell_1,n105_R_CA3_wire_3_cell_1,10.530066815144766,27
n041_L_CA1_wire_3_cell_1,n085_R_CA1_wire_6_cell_1,10.23030303030303,28
n014_L_CA3_wire_4_cell_2,n041_L_CA1_wire_3_cell_1,10.220965058236272,29
n041_L_CA1_wire_3_cell_1,n118_R_CA3_wire_6_cell_2,10.110218140068888,30
n085_R_CA1_wire_6_cell_1,n105_R_CA3_wire_3_cell_1,10.016172506738542,31
n010_L_CA3_wire_3_cell_2,n014_L_CA3_wire_4_cell_2,9.798903107861058,32
n014_L_CA3_wire_4_cell_2,n081_R_CA1_wire_5_cell_1,9.756906077348066,33
n097_R_CA1_wire_1_cell_1,n118_R_CA3_wire_6_cell_2,9.6650133536818,34
n041_L_CA1_wire_3_cell_1,n078_R_CA1_wire_4_cell_2,9.555555555555555,35
n017_L_CA3_wire_5_cell_1,n041_L_CA1_wire_3_cell_1,9.53526970954357,36
n041_L_CA1_wire_3_cell_1,n105_R_CA3_wire_3_cell_1,9.494221617946977,37
n017_L_CA3_wire_5_cell_1,n077_R_CA1_wire_4_cell_1,9.333333333333332,38
n041_L_CA1_wire_3_cell_1,n077_R_CA1_wire_4_cell_1,9.203928365106874,39
n085_R_CA1_wire_6_cell_1,n097_R_CA1_wire_1_cell_1,9.121320890165109,40
n010_L_CA3_wire_3_cell_2,n110_R_CA3_wire_4_cell_2,9.054545454545451,41
n078_R_CA1_wire_4_cell_2,n097_R_CA1_wire_1_cell_1,8.823762376237624,42
n014_L_CA3_wire_4_cell_2,n085_R_CA1_wire_6_cell_1,8.684479818078453,43
n081_R_CA1_wire_5_cell_1,n097_R_CA1_wire_1_cell_1,8.6524064171123,44
n077_R_CA1_wire_4_cell_1,n078_R_CA1_wire_4_cell_2,8.289156626506024,45
n097_R_CA1_wire_1_cell_1,n105_R_CA3_wire_3_cell_1,8.222474460839955,46
n041_L_CA1_wire_3_cell_1,n097_R_CA1_wire_1_cell_1,8.178838617741361,47
n014_L_CA3_wire_4_cell_2,n118_R_CA3_wire_6_cell_2,8.154517971111858,48
n014_L_CA3_wire_4_cell_2,n078_R_CA1_wire_4_cell_2,8.07007299270073,49
n014_L_CA3_wire_4_cell_2,n077_R_CA1_wire_4_cell_1,7.8720612356478945,50
n014_L_CA3_wire_4_cell_2,n105_R_CA3_wire_3_cell_1,7.644631578947369,51
n081_R_CA1_wire_5_cell_1,n109_R_CA3_wire_4_cell_1,7.302625518194381,52
n077_R_CA1_wire_4_cell_1,n085_R_CA1_wire_6_cell_1,7.197149643705463,53
n005_L_CA3_wire_2_cell_1,n085_R_CA1_wire_6_cell_1,6.899550224887557,54
n005_L_CA3_wire_2_cell_1,n041_L_CA1_wire_3_cell_1,6.832904105438569,55
n017_L_CA3_wire_5_cell_1,n110_R_CA3_wire_4_cell_2,6.817337461300308,56
n077_R_CA1_wire_4_cell_1,n118_R_CA3_wire_6_cell_2,6.804469273743017,57
