Neuron1,Neuron2,BumpScore,Rank
n010_L_CA3_wire_3_cell_2,n017_L_CA3_wire_5_cell_1,24.0,1
n081_R_CA1_wire_5_cell_1,n105_R_CA3_wire_3_cell_1,23.598173515981742,2
n078_R_CA1_wire_4_cell_2,n105_R_CA3_wire_3_cell_1,22.26315789473684,3
n010_L_CA3_wire_3_cell_2,n078_R_CA1_wire_4_cell_2,22.0,4
n010_L_CA3_wire_3_cell_2,n085_R_CA1_wire_6_cell_1,22.0,5
n017_L_CA3_wire_5_cell_1,n078_R_CA1_wire_4_cell_2,21.096774193548384,6
n078_R_CA1_wire_4_cell_2,n081_R_CA1_wire_5_cell_1,19.724137931034484,7
n085_R_CA1_wire_6_cell_1,n118_R_CA3_wire_6_cell_2,19.494505494505496,8
n010_L_CA3_wire_3_cell_2,n081_R_CA1_wire_5_cell_1,19.11111111111111,9
n077_R_CA1_wire_4_cell_1,n081_R_CA1_wire_5_cell_1,18.697674418604652,10
n017_L_CA3_wire_5_cell_1,n085_R_CA1_wire_6_cell_1,18.387096774193548,11
n081_R_CA1_wire_5_cell_1,n085_R_CA1_wire_6_cell_1,17.42857142857143,12
n017_L_CA3_wire_5_cell_1,n081_R_CA1_wire_5_cell_1,17.333333333333332,13
n078_R_CA1_wire_4_cell_2,n085_R_CA1_wire_6_cell_1,17.132530120481924,14
n010_L_CA3_wire_3_cell_2,n105_R_CA3_wire_3_cell_1,16.965517241379306,15
n085_R_CA1_wire_6_cell_1,n105_R_CA3_wire_3_cell_1,16.631578947368418,16
n078_R_CA1_wire_4_cell_2,n118_R_CA3_wire_6_cell_2,16.60927152317881,17
n013_L_CA3_wire_4_cell_1,n017_L_CA3_wire_5_cell_1,16.527075812274365,18
n017_L_CA3_wire_5_cell_1,n105_R_CA3_wire_3_cell_1,15.76923076923077,19
n010_L_CA3_wire_3_cell_2,n118_R_CA3_wire_6_cell_2,15.272727272727275,20
n077_R_CA1_wire_4_cell_1,n105_R_CA3_wire_3_cell_1,14.746478873239434,21
