Neuron1,Neuron2,BumpScore,Rank
n010_L_CA3_wire_3_cell_2,n017_L_CA3_wire_5_cell_1,57.28571428571429,1
n010_L_CA3_wire_3_cell_2,n078_R_CA1_wire_4_cell_2,56.0,2
n013_L_CA3_wire_4_cell_1,n017_L_CA3_wire_5_cell_1,54.35294117647058,3
n081_R_CA1_wire_5_cell_1,n105_R_CA3_wire_3_cell_1,49.96078431372549,4
n078_R_CA1_wire_4_cell_2,n105_R_CA3_wire_3_cell_1,49.85321100917431,5
n078_R_CA1_wire_4_cell_2,n106_R_CA3_wire_3_cell_2,49.53846153846153,6
n017_L_CA3_wire_5_cell_1,n078_R_CA1_wire_4_cell_2,47.58333333333333,7
n017_L_CA3_wire_5_cell_1,n081_R_CA1_wire_5_cell_1,45.79797979797979,8
n010_L_CA3_wire_3_cell_2,n081_R_CA1_wire_5_cell_1,44.00000000000001,9
n078_R_CA1_wire_4_cell_2,n081_R_CA1_wire_5_cell_1,43.714285714285715,10
n085_R_CA1_wire_6_cell_1,n118_R_CA3_wire_6_cell_2,42.999999999999986,11
n017_L_CA3_wire_5_cell_1,n042_L_CA1_wire_3_cell_2,42.02877697841726,12
n081_R_CA1_wire_5_cell_1,n106_R_CA3_wire_3_cell_2,42.0,13
n010_L_CA3_wire_3_cell_2,n118_R_CA3_wire_6_cell_2,41.729729729729726,14
n078_R_CA1_wire_4_cell_2,n085_R_CA1_wire_6_cell_1,41.0,15
n078_R_CA1_wire_4_cell_2,n118_R_CA3_wire_6_cell_2,40.94409937888199,16
n106_R_CA3_wire_3_cell_2,n118_R_CA3_wire_6_cell_2,40.88235294117647,17
n042_L_CA1_wire_3_cell_2,n078_R_CA1_wire_4_cell_2,40.222222222222214,18
n077_R_CA1_wire_4_cell_1,n082_R_CA1_wire_5_cell_2,38.846208362863216,19
n010_L_CA3_wire_3_cell_2,n085_R_CA1_wire_6_cell_1,38.74999999999999,20
n077_R_CA1_wire_4_cell_1,n081_R_CA1_wire_5_cell_1,38.362204724409445,21
