Neuron1,Neuron2,BumpScore,Rank
n081_R_CA1_wire_5_cell_1,n082_R_CA1_wire_5_cell_2,14.727783631893217,1
n081_R_CA1_wire_5_cell_1,n097_R_CA1_wire_1_cell_1,8.990825688073393,2
n042_L_CA1_wire_3_cell_2,n097_R_CA1_wire_1_cell_1,8.783983140147525,3
n005_L_CA3_wire_2_cell_1,n097_R_CA1_wire_1_cell_1,7.9385342789598115,4
n042_L_CA1_wire_3_cell_2,n082_R_CA1_wire_5_cell_2,7.232876712328767,5
n014_L_CA3_wire_4_cell_2,n097_R_CA1_wire_1_cell_1,6.070175438596491,6
n082_R_CA1_wire_5_cell_2,n097_R_CA1_wire_1_cell_1,5.779527559055117,7
n042_L_CA1_wire_3_cell_2,n081_R_CA1_wire_5_cell_1,5.703703703703701,8
n014_L_CA3_wire_4_cell_2,n042_L_CA1_wire_3_cell_2,4.715063520871142,9
n005_L_CA3_wire_2_cell_1,n042_L_CA1_wire_3_cell_2,4.6737967914438485,10
n014_L_CA3_wire_4_cell_2,n082_R_CA1_wire_5_cell_2,4.305177111716619,11
n014_L_CA3_wire_4_cell_2,n081_R_CA1_wire_5_cell_1,3.220338983050846,12
n005_L_CA3_wire_2_cell_1,n082_R_CA1_wire_5_cell_2,2.220314735336194,13
n005_L_CA3_wire_2_cell_1,n014_L_CA3_wire_4_cell_2,1.1353004127809205,14
n005_L_CA3_wire_2_cell_1,n081_R_CA1_wire_5_cell_1,0.925925925925925,15
