Neuron1,Neuron2,BumpScore,Rank
n030_L_CA3_wire_8_cell_2,n046_L_CA1_wire_4_cell_2,40.0,1
n046_L_CA1_wire_4_cell_2,n097_R_CA1_wire_1_cell_1,38.0,2
n030_L_CA3_wire_8_cell_2,n097_R_CA1_wire_1_cell_1,34.400000000000006,3
n050_L_CA1_wire_5_cell_2,n097_R_CA1_wire_1_cell_1,32.000000000000014,4
n025_L_CA3_wire_7_cell_1,n097_R_CA1_wire_1_cell_1,30.000000000000014,5
n038_L_CA1_wire_2_cell_2,n046_L_CA1_wire_4_cell_2,29.999999999999993,6
n041_L_CA1_wire_3_cell_1,n097_R_CA1_wire_1_cell_1,26.237288135593218,7
n038_L_CA1_wire_2_cell_2,n097_R_CA1_wire_1_cell_1,21.33333333333334,8
n025_L_CA3_wire_7_cell_1,n030_L_CA3_wire_8_cell_2,19.200000000000003,9
n046_L_CA1_wire_4_cell_2,n050_L_CA1_wire_5_cell_2,18.941176470588232,10
n029_L_CA3_wire_8_cell_1,n097_R_CA1_wire_1_cell_1,18.722689075630253,11
n030_L_CA3_wire_8_cell_2,n050_L_CA1_wire_5_cell_2,18.0,12
n041_L_CA1_wire_3_cell_1,n046_L_CA1_wire_4_cell_2,16.25,13
n018_L_CA3_wire_5_cell_2,n097_R_CA1_wire_1_cell_1,16.031968031968034,14
n030_L_CA3_wire_8_cell_2,n038_L_CA1_wire_2_cell_2,15.599999999999998,15
n038_L_CA1_wire_2_cell_2,n050_L_CA1_wire_5_cell_2,14.792452830188676,16
n097_R_CA1_wire_1_cell_1,n101_R_CA3_wire_2_cell_1,14.592592592592592,17
n097_R_CA1_wire_1_cell_1,n121_R_CA3_wire_7_cell_1,14.395604395604398,18
n046_L_CA1_wire_4_cell_2,n121_R_CA3_wire_7_cell_1,14.285714285714283,19
n025_L_CA3_wire_7_cell_1,n046_L_CA1_wire_4_cell_2,14.0,20
n030_L_CA3_wire_8_cell_2,n041_L_CA1_wire_3_cell_1,13.255813953488374,21
n046_L_CA1_wire_4_cell_2,n101_R_CA3_wire_2_cell_1,13.176470588235293,22
n030_L_CA3_wire_8_cell_2,n121_R_CA3_wire_7_cell_1,12.326530612244898,23
n029_L_CA3_wire_8_cell_1,n046_L_CA1_wire_4_cell_2,11.612903225806448,24
n025_L_CA3_wire_7_cell_1,n038_L_CA1_wire_2_cell_2,11.176470588235293,25
n093_R_CA1_wire_8_cell_1,n097_R_CA1_wire_1_cell_1,10.808510638297873,26
n069_R_CA1_wire_2_cell_1,n097_R_CA1_wire_1_cell_1,10.782608695652174,27
n046_L_CA1_wire_4_cell_2,n062_L_CA1_wire_8_cell_2,10.500000000000004,28
n046_L_CA1_wire_4_cell_2,n069_R_CA1_wire_2_cell_1,10.49056603773585,29
n062_L_CA1_wire_8_cell_2,n097_R_CA1_wire_1_cell_1,10.181818181818183,30
n070_R_CA1_wire_2_cell_2,n097_R_CA1_wire_1_cell_1,10.175824175824175,31
n097_R_CA1_wire_1_cell_1,n117_R_CA3_wire_6_cell_1,10.075471698113205,32
n046_L_CA1_wire_4_cell_2,n070_R_CA1_wire_2_cell_2,9.928571428571432,33
