Neuron1,Neuron2,BumpScore,Rank
n030_L_CA3_wire_8_cell_2,n046_L_CA1_wire_4_cell_2,94.0,1
n038_L_CA1_wire_2_cell_2,n046_L_CA1_wire_4_cell_2,94.0,2
n046_L_CA1_wire_4_cell_2,n097_R_CA1_wire_1_cell_1,94.0,3
n025_L_CA3_wire_7_cell_1,n097_R_CA1_wire_1_cell_1,93.99999999999996,4
n030_L_CA3_wire_8_cell_2,n050_L_CA1_wire_5_cell_2,86.0,5
n025_L_CA3_wire_7_cell_1,n046_L_CA1_wire_4_cell_2,84.0,6
n046_L_CA1_wire_4_cell_2,n101_R_CA3_wire_2_cell_1,83.99999999999997,7
n025_L_CA3_wire_7_cell_1,n030_L_CA3_wire_8_cell_2,81.99999999999999,8
n025_L_CA3_wire_7_cell_1,n038_L_CA1_wire_2_cell_2,80.00000000000001,9
n038_L_CA1_wire_2_cell_2,n097_R_CA1_wire_1_cell_1,80.0,10
n046_L_CA1_wire_4_cell_2,n121_R_CA3_wire_7_cell_1,78.0,11
n046_L_CA1_wire_4_cell_2,n062_L_CA1_wire_8_cell_2,76.00000000000003,12
n029_L_CA3_wire_8_cell_1,n097_R_CA1_wire_1_cell_1,76.0,13
n038_L_CA1_wire_2_cell_2,n050_L_CA1_wire_5_cell_2,75.99999999999997,14
n030_L_CA3_wire_8_cell_2,n038_L_CA1_wire_2_cell_2,74.0,15
n050_L_CA1_wire_5_cell_2,n097_R_CA1_wire_1_cell_1,74.0,16
n041_L_CA1_wire_3_cell_1,n097_R_CA1_wire_1_cell_1,72.00000000000001,17
n029_L_CA3_wire_8_cell_1,n046_L_CA1_wire_4_cell_2,71.99999999999999,18
n030_L_CA3_wire_8_cell_2,n101_R_CA3_wire_2_cell_1,70.0,19
n093_R_CA1_wire_8_cell_1,n097_R_CA1_wire_1_cell_1,69.99999999999999,20
n030_L_CA3_wire_8_cell_2,n069_R_CA1_wire_2_cell_1,69.99999999999999,21
n097_R_CA1_wire_1_cell_1,n101_R_CA3_wire_2_cell_1,68.0,22
n030_L_CA3_wire_8_cell_2,n097_R_CA1_wire_1_cell_1,68.0,23
n062_L_CA1_wire_8_cell_2,n097_R_CA1_wire_1_cell_1,67.99999999999999,24
