Neuron1,Neuron2,BumpScore,Rank
n013_L_CA3_wire_4_cell_1,n069_R_CA1_wire_2_cell_1,6.82367447595561,1
n013_L_CA3_wire_4_cell_1,n017_L_CA3_wire_5_cell_1,6.000000000000002,2
n013_L_CA3_wire_4_cell_1,n117_R_CA3_wire_6_cell_1,5.498489425981874,3
n017_L_CA3_wire_5_cell_1,n117_R_CA3_wire_6_cell_1,5.4453781512605035,4
n017_L_CA3_wire_5_cell_1,n069_R_CA1_wire_2_cell_1,5.404255319148937,5
n069_R_CA1_wire_2_cell_1,n117_R_CA3_wire_6_cell_1,5.26022913256956,6
n013_L_CA3_wire_4_cell_1,n014_L_CA3_wire_4_cell_2,3.0345671459161836,7
n014_L_CA3_wire_4_cell_2,n017_L_CA3_wire_5_cell_1,2.6638717632552416,8
n014_L_CA3_wire_4_cell_2,n069_R_CA1_wire_2_cell_1,2.452386853715362,9
n014_L_CA3_wire_4_cell_2,n117_R_CA3_wire_6_cell_1,1.0022238695329873,10
