Neuron1,Neuron2,BumpScore,Rank
n017_L_CA3_wire_5_cell_1,n117_R_CA3_wire_6_cell_1,9.433962264150944,1
n013_L_CA3_wire_4_cell_1,n017_L_CA3_wire_5_cell_1,8.985915492957748,2
n013_L_CA3_wire_4_cell_1,n069_R_CA1_wire_2_cell_1,8.336633663366337,3
n013_L_CA3_wire_4_cell_1,n117_R_CA3_wire_6_cell_1,8.333333333333334,4
n013_L_CA3_wire_4_cell_1,n014_L_CA3_wire_4_cell_2,5.887788778877889,5
n017_L_CA3_wire_5_cell_1,n069_R_CA1_wire_2_cell_1,5.714285714285714,6
n069_R_CA1_wire_2_cell_1,n117_R_CA3_wire_6_cell_1,5.354838709677422,7
n014_L_CA3_wire_4_cell_2,n017_L_CA3_wire_5_cell_1,4.44149272612271,8
n014_L_CA3_wire_4_cell_2,n069_R_CA1_wire_2_cell_1,2.3490759753593426,9
n014_L_CA3_wire_4_cell_2,n117_R_CA3_wire_6_cell_1,1.4614003590664273,10
