Neuron1,Neuron2,BumpScore,Rank
n013_L_CA3_wire_4_cell_1,n117_R_CA3_wire_6_cell_1,54.0,1
n017_L_CA3_wire_5_cell_1,n117_R_CA3_wire_6_cell_1,53.99999999999999,2
n013_L_CA3_wire_4_cell_1,n017_L_CA3_wire_5_cell_1,40.00000000000001,3
n069_R_CA1_wire_2_cell_1,n117_R_CA3_wire_6_cell_1,36.96296296296297,4
n017_L_CA3_wire_5_cell_1,n069_R_CA1_wire_2_cell_1,31.259259259259263,5
n013_L_CA3_wire_4_cell_1,n069_R_CA1_wire_2_cell_1,22.575539568345324,6
n013_L_CA3_wire_4_cell_1,n014_L_CA3_wire_4_cell_2,15.071507150715073,7
n014_L_CA3_wire_4_cell_2,n017_L_CA3_wire_5_cell_1,11.504310344827589,8
n014_L_CA3_wire_4_cell_2,n117_R_CA3_wire_6_cell_1,8.306777645659931,9
n014_L_CA3_wire_4_cell_2,n069_R_CA1_wire_2_cell_1,7.736720554272521,10
